,,Rotisserie Draft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,rocketman,Ulavala,drewshaver,MONERSTOR,Aspi,samp,whalematron,nova,balbadorf,w1dcrd,,,,,,,,,,,,,,,,,,,,
1,→,"Tamiyo, Inquisitive Student","Phlage, Titan of Fire's Fury",Ocelot Pride,Chrome Mox,Reanimate,Ancient Tomb,Barrowgoyf,"Urza, Lord High Artificer",Strip Mine,"Gut, True Soul Zealot",,,↩, ,,,Draft Status,,,,UG,WR,W,C,B,C,B,U,C,R
2,↪,Counterspell,Path to Exile,"Phelia, Exuberant Shepherd",Currency Converter,Emperor of Bones,Swords to Plowshares,Pyrogoyf,Mox Opal,Wrenn and Six,Cori-Steel Cutter,,,,,,,Double Picks After:,20,,,U,W,W,C,B,W,R,C,RG,R
3,,"Uro, Titan of Nature's Wrath",Lightning Bolt,Mother of Runes,Thoughtseize,Fatal Push,Scythecat Cub,Fable of the Mirror-Breaker,Mishra's Bauble,"Bristly Bill, Spine Sower","Ragavan, Nimble Pilferer",,,↩,,,,Players:,10,,,UG,R,W,B,B,G,R,C,G,R
4,↪,Brainstorm,Seasoned Pyromancer,Overlord of the Mistmoors,"Sheoldred, the Apocalypse",Troll of Khazad-dûm,Smuggler's Copter,Dismember,Memory Lapse,Icetill Explorer,Fury,,,,,,,Picks per Player:,45,,,U,R,W,B,B,C,B,U,G,R
5,,"Jace, the Mind Sculptor",Ranger-Captain of Eos,Solitude,Toxic Deluge,Overlord of the Balemurk,Windswept Heath,Crabomination,Stoneforge Mystic,Malevolent Rumble,Mana Leak,,,↩,,,,Total Picks:,450,,,U,W,W,B,B,C,B,W,G,U
6,↪,Birds of Paradise,Sacred Foundry 2,Ephemerate,Quantum Riddler,"Yawgmoth, Thran Physician",Windswept Heath 2,Demonic Tutor,Nettlecyst,Green Sun's Zenith,Remand,,,,,,,Picks Made:,450,,,G,WR,W,U,B,C,B,C,G,U
7,,Lórien Revealed,Voice of Victory,Reprieve,Inquisition of Kozilek,Dark Ritual,Wooded Foothills,Bloodstained Mire,Spell Pierce,Wooded Foothills 2,Agatha's Soul Cauldron,,,↩,,,,Picks Remaining:,0,,,U,W,W,B,B,C,C,U,C,C
8,↪,Mystic Sanctuary,Arid Mesa 2,Get Lost,Watery Grave,Polluted Delta 2,Fanatic of Rhonas,Bloodstained Mire 2,Unable to Scream,Eternal Witness,Vivi Ornitier,,,,,,,Making Double Picks:,TRUE,,,U,C,W,UB,C,G,C,U,G,UR
9,,Temporal Manipulation,Arid Mesa,Elite Spellbinder,Polluted Delta,Blood Crypt,Noble Hierarch,Blood Crypt 2,Stock Up,Verdant Catacombs,Scalding Tarn,,,↩,,,,Next Player if Single Pick:,10,,,U,C,W,C,BR,WUG,BR,U,C,C
10,↪,Misty Rainforest 2,"Cloud, Midgar Mercenary",Charming Prince,Prismatic Vista,Liliana of the Veil,Misty Rainforest,Necromancy,"Teferi, Time Raveler",Sentinel of the Nameless City,Scalding Tarn 2,,,,,,,Next Player if Double Pick,6,,,C,W,W,C,B,C,B,WU,G,C
11,,Flooded Strand,"Toby, Beastie Befriender",Blade Splicer,Bitter Triumph,Deathrite Shaman,Verdant Catacombs 2,Grief,Astrologian's Planisphere,Springheart Nantuko,Steam Vents,,,↩,,,,Round Number:,45,,,C,W,W,B,BG,C,B,U,G,UR
12,↪,Breeding Pool,"Inti, Seneschal of the Sun","Thalia, Heretic Cathar","Malcolm, Alluring Scoundrel",Goblin Bombardment,Lotus Cobra,Persist,"Saheeli, Sublime Artificer",Endurance,Steam Vents 2,,,,,,,Next Player:,FALSE,,,UG,R,W,U,R,G,B,UR,G,UR
13,,Flooded Strand 2,Embercleave,Thraben Charm,Undercity Sewers,Marsh Flats,Esika's Chariot,Flame Slash,Hallowed Fountain,Stomping Ground,Thundering Falls,,,↩,,,,Next Row:,44,,,C,R,W,UB,C,G,R,WU,RG,UR
14,↪,Subtlety,Giver of Runes,Steel Seraph,Deep-Cavern Bat,The Meathook Massacre,Ignoble Hierarch,Dauthi Voidwalker,Hallowed Fountain 2,Primeval Titan,Spirebluff Canal,,,,,,,Next Player Name:,FALSE,,,U,W,W,B,B,BRG,B,WU,G,UR
15,,Cryptic Command,Esper Sentinel,Flickerwisp,Mystic Confluence,Marsh Flats 2,Palantír of Orthanc,Fear of Missing Out,Sacred Foundry,Overlord of the Hauntwoods,Proft's Eidetic Memory,,,↩,,,,Draft Active:,FALSE,,,U,W,W,U,C,C,R,WR,G,U
16,↪,Miscalculation,Sheltered by Ghosts,Thraben Inspector,Abhorrent Oculus,Bone Shards,Six,Go for the Throat,Third Path Iconoclast,Kishla Skimmer,Chrome Host Seedshark,,,,,,,,,,,U,W,W,U,B,G,B,UR,UG,U
17,,Snapcaster Mage,Intrepid Adversary,"Elspeth, Storm Slayer",Duress,Bloodghast,Tireless Tracker,"Laelia, the Blade Reforged",Kappa Cannoneer,Hunter's Talent,Silverbluff Bridge,,,↩,,,,,,,,U,W,W,B,B,G,R,U,G,UR
18,↪,"Jace, Vryn's Prodigy",Chainsaw,The Wandering Emperor,Ponder,"Sephiroth, Fabled SOLDIER",Tireless Provisioner,Raucous Theater,Chromatic Star,Vaultborn Tyrant,Oliphaunt,,,,,,,,,,,U,R,W,U,B,G,BR,C,G,R
19,,Time Warp,Searslicer Goblin,Portable Hole,Sheoldred's Edict,Blackcleave Cliffs,The Great Henge,"Lutri, the Spellchaser",Relic of Progenitus,Bristlebud Farmer,Voldaren Epicure,,,↩,,,,,,,,U,R,W,B,BR,G,UR,C,G,R
20,↪,Oust,Serra Paragon,Novice Inspector,Damnation,Detective's Phoenix,"Rofellos, Llanowar Emissary",Chain Lightning,Batterskull,Keen-Eyed Curator,Spyglass Siren,,,,,,,,,,,W,W,W,B,R,G,R,C,G,U
21,,Prismatic Ending,"Adeline, Resplendent Cathar","Eiganjo, Seat of the Empire","Otawara, Soaring City",Godless Shrine,Temple Garden,Nethergoyf,"Karn, Scion of Urza",Ulvenwald Oddity,Spikefield Hazard,,,↩,,,,,,,,W,W,W,U,WB,WG,B,C,G,R
22,,Temple Garden 2,Inspiring Vantage,Witch Enchanter,Concealing Curtains,Luminarch Aspirant,Utopia Sprawl,Fire Magic,Retrofitter Foundry,Scavenging Ooze,Hard Evidence,,,,,,,,,,,WG,WR,W,B,W,G,R,C,G,U
23,↪,"Teferi, Hero of Dominaria","Kytheon, Hero of Akros",Skyclave Apparition,Watery Grave 2,Shadowy Backstreet,Llanowar Elves,Grave Titan,Assimilation Aegis,Breeding Pool 2,Treasure Cruise,,,,,,,,,,,WU,W,W,UB,WB,G,B,WU,UG,U
