,Card,Type,Color,View,Picked By,
✓,Descendant of Storms,Creature — Human Soldier,W,View,Ulavala,$D$32
✓,Esper Sentinel,Artifact Creature — Human Soldier,W,View,Ulavala,$D$18
✓,Giver of Runes,Creature — Kor Cleric,W,View,Ulavala,$D$17
✓,"Kytheon, Hero of Akros",Legendary Creature — Human Soldier,W,View,Ulavala,$D$26
✓,Mother of Runes,Creature — Human Cleric,W,View,drewshaver,$E$6
✓,Novice Inspector,Creature — Human Detective,W,View,drewshaver,$E$23
✓,Ocelot Pride,Creature — Cat,W,View,drewshaver,$E$4
✓,Thraben Inspector,Creature — Human Soldier,W,View,drewshaver,$E$19
✓,Usher of the Fallen,Creature — Spirit Warrior,W,View,Ulavala,$D$35
✓,Zack Fair,Legendary Creature — Human Soldier,W,View,drewshaver,$E$47
✓,Cathar Commando,Creature — Human Soldier,W,View,Ulavala,$D$41
✓,Charming Prince,Creature — Human Noble,W,View,drewshaver,$E$13
✓,Clarion Spirit,Creature — Spirit,W,View,Ulavala,$D$31
✓,"Cloud, Midgar Mercenary",Legendary Creature — Human Soldier Mercenary,W,View,Ulavala,$D$13
✓,Containment Priest,Creature — Human Cleric,W,View,drewshaver,$E$30
✓,Intrepid Adversary,Creature — Human Scout,W,View,Ulavala,$D$20
✓,Luminarch Aspirant,Creature — Human Cleric,W,View,Aspi,$G$25
✓,"Phelia, Exuberant Shepherd",Legendary Creature — Dog,W,View,drewshaver,$E$5
✓,Selfless Spirit,Creature — Spirit Cleric,W,View,drewshaver,$E$28
✓,Stoneforge Mystic,Creature — Kor Artificer,W,View,nova,$J$8
✓,"Thalia, Guardian of Thraben",Legendary Creature — Human Soldier,W,View,drewshaver,$E$37
✓,Voice of Victory,Creature — Human Bard,W,View,Ulavala,$D$10
✓,Wall of Omens,Creature — Wall,W,View,rocketman,$C$40
✓,"Adeline, Resplendent Cathar",Legendary Creature — Human Knight,W,View,Ulavala,$D$24
✓,Blade Splicer,Creature — Phyrexian Human Artificer,W,View,drewshaver,$E$14
✓,Cosmogrand Zenith,Creature — Human Soldier,W,View,drewshaver,$E$29
✓,Elite Spellbinder,Creature — Human Cleric,W,View,drewshaver,$E$12
✓,Flickerwisp,Creature — Elemental,W,View,drewshaver,$E$18
✓,Loran of the Third Path,Legendary Creature — Human Artificer,W,View,drewshaver,$E$41
✓,Monastery Mentor,Creature — Human Monk,W,View,nova,$J$31
,Oltec Matterweaver,Creature — Human Artificer,W,View,,
✓,Ranger-Captain of Eos,Creature — Human Soldier Ranger,W,View,Ulavala,$D$8
✓,Sanguine Evangelist,Creature — Vampire Cleric,W,View,Ulavala,$D$28
✓,Skyclave Apparition,Creature — Kor Spirit,W,View,drewshaver,$E$26
✓,"Thalia, Heretic Cathar",Legendary Creature — Human Soldier,W,View,drewshaver,$E$15
✓,"Toby, Beastie Befriender",Legendary Creature — Human Wizard,W,View,Ulavala,$D$14
✓,Restoration Angel,Creature — Angel,W,View,drewshaver,$E$31
✓,Serra Paragon,Creature — Angel,W,View,Ulavala,$D$23
✓,Witch Enchanter,Creature — Human Warlock,W,View,drewshaver,$E$25
✓,Solitude,Creature — Elemental Incarnation,W,View,drewshaver,$E$8
,Timeless Dragon,Creature — Dragon,W,View,,
✓,Eagles of the North,Creature — Bird Soldier,W,View,nova,$J$48
✓,Steel Seraph,Artifact Creature — Angel,W,View,drewshaver,$E$17
✓,Overlord of the Mistmoors,Enchantment Creature — Avatar Horror,W,View,drewshaver,$E$7
✓,Condemn,Instant,W,View,drewshaver,$E$38
✓,Ephemerate,Instant,W,View,drewshaver,$E$9
✓,Path to Exile,Instant,W,View,Ulavala,$D$5
✓,Swords to Plowshares,Instant,W,View,samp,$H$5
✓,Get Lost,Instant,W,View,drewshaver,$E$11
✓,Reprieve,Instant,W,View,drewshaver,$E$10
✓,Thraben Charm,Instant,W,View,drewshaver,$E$16
✓,Oust,Sorcery,W,View,rocketman,$C$23
✓,Prismatic Ending,Sorcery,W,View,rocketman,$C$24
✓,Sevinne's Reclamation,Sorcery,W,View,drewshaver,$E$46
✓,Battle Screech,Sorcery,W,View,Ulavala,$D$44
✓,Day of Judgment,Sorcery,W,View,rocketman,$C$38
✓,Sunfall,Sorcery,W,View,rocketman,$C$39
✓,Portable Hole,Artifact,W,View,drewshaver,$E$22
✓,Barbed Spike,Artifact — Equipment,W,View,drewshaver,$E$39
,Collector's Cage,Artifact,W,View,,
✓,Staff of the Storyteller,Artifact,W,View,nova,$J$30
✓,Unidentified Hovership,Artifact — Vehicle,W,View,drewshaver,$E$27
✓,Legion's Landing,Legendary Enchantment,W,View,drewshaver,$E$35
✓,Journey to Nowhere,Enchantment,W,View,Ulavala,$D$39
