,,Rotisserie Draft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Jack,Aspi,arborist77,Neo,MurmurTwin,Ray Bees,LastAbzan,Max,Mr. Fancypants,baronvonfonz,Greg,Keith,,,,,,,,,,,,,,,,,,,,
1,→,"Phelia, Exuberant Shepherd",Swords to Plowshares,Reanimate,Fable of the Mirror-Breaker,Badgermole Cub,"Wan Shi Tong, All-Knowing","Sheoldred, the Apocalypse",Quantum Riddler,"Ragavan, Nimble Pilferer",Strip Mine,"Urza, Lord High Artificer",Birds of Paradise,↩, ,,,Draft Status,,,,W,W,B,R,G,U,B,U,R,C,U,G
2,↪,Mother of Runes,Solitude,Thoughtseize,Fury,Ignoble Hierarch,Stock Up,Demonic Tutor,Ephemerate,Cori-Steel Cutter,Icetill Explorer,Pyrogoyf,Noble Hierarch,,,,,Double Picks After:,25,,,W,W,B,R,BRG,U,B,W,R,G,R,WUG
3,,Path to Exile,Oust,Deep-Cavern Bat,Smuggler's Copter,Utopia Sprawl,Memory Lapse,Day's Undoing,Flooded Strand,Lightning bolt,Llanowar Elves,Scalding Tarn,Scalding Tarn 2,↩,,,,Players:,12,,,W,W,B,C,G,U,U,C,R,G,C,C
4,↪,Stoneforge Mystic,Reprieve,"Inti, Seneschal of the Sun",Carnage Interpreter,Elvish Mystic,Time Warp,"Teferi, Time Raveler",Misty Rainforest 2,Chain Lightning,Deathrite Shaman,Currency Converter,Misty Rainforest,,,,,Picks per Player:,45,,,W,W,R,BR,G,U,WU,C,R,BG,C,C
5,,Dismember,Inquisition of Kozilek,Fear of Missing Out,"Laelia, the Blade Reforged",Springheart Nantuko,Temporal Manipulation,Polluted Delta,Flooded Strand 2,Screaming Nemesis,Verdant Catacombs,Stern Scolding,Windswept Heath,↩,,,,Total Picks:,540,,,B,B,R,R,G,U,C,C,R,C,U,C
6,↪,Ancient Tomb,Fatal Push,Bloodstained Mire,Chrome Mox,"Rofellos, Llanowar Emissary",Subtlety,Marsh Flats,Polluted Delta 2,The Legend of Roku,Verdant Catacombs 2,"Ivora, Insatiable Heir",Wooded Foothills,,,,,Picks Made:,540,,,C,B,C,C,G,U,C,C,R,C,R,C
7,,Overlord of the Mistmoors,Marsh Flats 2,Detective's Phoenix,Wooded Foothills 2,Green Sun's Zenith,Mystic Sanctuary,Prismatic Vista,Hallowed Fountain,Dragon's Rage Channeler,Bloodstained Mire 2,Steam Vents,Scythecat Cub,↩,,,,Picks Remaining:,0,,,W,C,R,C,G,U,C,WU,R,C,UR,G
8,↪,Voice of Victory,Windswept Heath 2,Snuff Out,Arid Mesa 2,Pest Infestation,Mana Leak,Hallowed Fountain 2,Watery Grave,Generous Plunderer,Malevolent Rumble,Arid Mesa,"Uro, Titan of Nature's Wrath",,,,,Making Double Picks:,TRUE,,,W,C,B,C,G,U,WU,UB,R,G,C,UG
9,,Novice Inspector,"Yawgmoth, Thran Physician",Necromancy,Embercleave,Lumbering Worldwagon,Lórien Revealed,"Narset, Parter of Veils",Steam Vents 2,Seasoned Pyromancer,Blood Crypt,Mystic Confluence,Breeding Pool,↩,,,,Next Player if Single Pick:,12,,,W,B,B,R,G,U,U,UR,R,BR,U,UG
10,↪,Unexpectedly Absent,Esper Sentinel,Blood Crypt 2,Flame Slash,Primal Might,Ledger Shredder,Toxic Deluge,Prismatic Ending,"Magda, Brazen Outlaw",Ophiomancer,Vivi Ornitier,Stomping Ground,,,,,Next Player if Double Pick,12,,,W,W,BR,R,G,U,B,W,R,B,UR,RG
11,,"Toby, Beastie Befriender",Glimmer Lens,Tersa Lightshatter,Hired Claw,Voracious Hydra,Remand,Snapcaster Mage,Unholy Heat,Sacred Foundry,Goblin Bombardment,Mishra's Bauble 5,Sylvan Safekeeper,↩,,,,Round Number:,45,,,W,W,R,R,G,U,U,R,WR,R,C,G
12,↪,Enduring Innocence,Staff of the Storyteller,Galvanic Discharge,Mine Collapse,Inscription of Abundance,Stormchaser's Talent,Watery Grave 2,Boomerang Basics,Giver of Runes,Bloodghast,Mishra's Bauble 6,Six,,,,,Next Player:,FALSE,,,W,W,R,R,G,U,UB,U,W,B,C,G
13,,Dissection Tools,"Sephiroth, Fabled SOLDIER",Oliphaunt,Kumano Faces Kakkazan,Keen-Eyed Curator,Unnerving Grasp,Spell Pierce,"Lutri, the Spellchaser",Sheltered by Ghosts,Beifong's Bounty Hunters,Mishra's Bauble 2,Lotus Cobra,↩,,,,Next Row:,45,,,C,B,R,R,G,U,U,UR,W,BG,C,G
14,↪,Sanguine Evangelist,Mishra's Bauble,Troll of Khazad-dûm,Emberheart Challenger,Hunter's Talent,"Wan Shi Tong, Librarian",Undercity Sewers,Lingering Souls,Wedding Announcement,Overlord of the Balemurk,Mishra's Bauble 3,"Nissa, Resurgent Animist",,,,,Next Player Name:,FALSE,,,W,C,B,R,G,U,UB,WB,W,B,C,G
15,,Winds of Abandon,Mishra's Bauble 4,Crabomination,Heartfire Hero,Fanatic of Rhonas,Ponder,Sevinne's Reclamation,Mishra's Bauble 8,Sacred Foundry 2,Stomping Ground 2,Mishra's Bauble 7,Unable to Scream,↩,,,,Draft Active:,FALSE,,,W,C,B,R,G,U,W,C,WR,RG,C,U
16,↪,"Spider-Woman, Stunning Savior",Thraben Inspector,Grief,Bonecrusher Giant,Endurance,Torrential Gearhulk,Dauthi Voidwalker,Faithless Looting,Figure of Destiny,Marionette Apprentice,"Malcolm, Alluring Scoundrel",Abrade,,,,,,,,,WU,W,B,R,G,U,B,R,WR,B,U,R
17,,Abandoned Air Temple,"Jadar, Ghoulcaller of Nephalia",Bitter Triumph,Burst Lightning,Sentinel of the Nameless City,Fading Hope,Baleful Strix,Treasure Cruise,Luminarch Aspirant,Eternal Witness,Counterspell,Overlord of the Boilerbilges,↩,,,,,,,,W,B,B,R,G,U,UB,U,W,G,U,R
18,↪,Portable Hole,Legion's Landing,Raven Eagle,Arena of Glory,Questing Beast,Cryptic Command,Thundertrap Trainer,Brainstorm,Robber of the Rich,Cut Down,Kappa Cannoneer,"Titania, Protector of Argoth",,,,,,,,,W,W,B,R,G,U,U,U,R,B,U,G
19,,Elite Spellbinder,Lurrus of the Dream-Den,Bloodtithe Harvester,Mutavault,Ulvenwald Oddity,"Jace, Vryn's Prodigy",Retrofitter Foundry,Proft's Eidetic Memory,"Chandra, Torch of Defiance",Sylvan Caryatid,Expressive Iteration,Mizzium Mortars,↩,,,,,,,,W,WB,BR,C,G,U,C,U,R,G,UR,R
