✓,Card,Type,Color,View,Picked By,
✓,Descendant of Storms,Creature — Human Soldier,W,View,Aspi,$D$35
✓,Esper Sentinel,Artifact Creature — Human Soldier,W,View,Aspi,$D$13
✓,Giver of Runes,Creature — Kor Cleric,W,View,Mr. Fancypants,$K$15
✓,"Kytheon, Hero of Akros",Legendary Creature — Human Soldier,W,View,Jack,$C$29
✓,Mother of Runes,Creature — Human Cleric,W,View,Jack,$C$5
✓,Novice Inspector,Creature — Human Detective,W,View,Jack,$C$12
✓,Thraben Inspector,Creature — Human Soldier,W,View,Aspi,$D$19
✓,Usher of the Fallen,Creature — Spirit Warrior,W,View,Aspi,$D$36
✓,Cathar Commando,Creature — Human Soldier,W,View,Aspi,$D$37
✓,Clarion Spirit,Creature — Spirit,W,View,Aspi,$D$25
✓,"Cloud, Midgar Mercenary",Legendary Creature — Human Soldier Mercenary,W,View,Aspi,$D$39
✓,Containment Priest,Creature — Human Cleric,W,View,Jack,$C$33
✓,Intrepid Adversary,Creature — Human Scout,W,View,Jack,$C$28
✓,Lion Sash,Artifact Creature — Equipment Cat,W,View,Mr. Fancypants,$K$27
✓,Luminarch Aspirant,Creature — Human Cleric,W,View,Mr. Fancypants,$K$20
✓,"Phelia, Exuberant Shepherd",Legendary Creature — Dog,W,View,Jack,$C$4
✓,Splitskin Doll,Artifact Creature — Toy,W,View,Mr. Fancypants,$K$45
✓,Stoneforge Mystic,Creature — Kor Artificer,W,View,Jack,$C$7
✓,Sungold Sentinel,Creature — Human Soldier,W,View,Jack,$C$37
✓,"Thalia, Guardian of Thraben",Legendary Creature — Human Soldier,W,View,Jack,$C$27
✓,Voice of Victory,Creature — Human Bard,W,View,Jack,$C$11
✓,"Adeline, Resplendent Cathar",Legendary Creature — Human Knight,W,View,Jack,$C$23
✓,Aven Interrupter,Creature — Bird Rogue,W,View,Jack,$C$36
✓,Blade Splicer,Creature — Phyrexian Human Artificer,W,View,Mr. Fancypants,$K$37
✓,Cosmogrand Zenith,Creature — Human Soldier,W,View,Aspi,$D$23
✓,Elite Spellbinder,Creature — Human Cleric,W,View,Jack,$C$22
✓,Enduring Innocence,Enchantment Creature — Sheep Glimmer,W,View,Jack,$C$15
✓,Flickerwisp,Creature — Elemental,W,View,Jack,$C$32
✓,Loran of the Third Path,Legendary Creature — Human Artificer,W,View,Mr. Fancypants,$K$23
✓,Monastery Mentor,Creature — Human Monk,W,View,Max,$J$37
✓,Ranger-Captain of Eos,Creature — Human Soldier Ranger,W,View,Mr. Fancypants,$K$47
✓,Sage of the Skies,Creature — Human Monk,W,View,Aspi,$D$32
✓,Sanguine Evangelist,Creature — Vampire Cleric,W,View,Jack,$C$17
✓,Skyclave Apparition,Creature — Kor Spirit,W,View,Max,$J$34
✓,"Suki, Courageous Rescuer",Legendary Creature — Human Warrior Ally,W,View,Aspi,$D$28
✓,"Toby, Beastie Befriender",Legendary Creature — Human Wizard,W,View,Jack,$C$14
✓,Ranger of Eos,Creature — Human Soldier Ranger,W,View,Mr. Fancypants,$K$48
✓,Restoration Angel,Creature — Angel,W,View,Max,$J$44
✓,Serra Paragon,Creature — Angel,W,View,Mr. Fancypants,$K$33
✓,Witch Enchanter,Creature — Human Warlock,W,View,Jack,$C$26
✓,Solitude,Creature — Elemental Incarnation,W,View,Aspi,$D$5
✓,Timeless Dragon,Creature — Dragon,W,View,LastAbzan,$I$47
✓,Eagles of the North,Creature — Bird Soldier,W,View,Jack,$C$38
✓,Overlord of the Mistmoors,Enchantment Creature — Avatar Horror,W,View,Jack,$C$10
✓,Condemn,Instant,W,View,Max,$J$36
✓,Ephemerate,Instant,W,View,Max,$J$5
✓,Mana Tithe,Instant,W,View,Jack,$C$25
✓,Path to Exile,Instant,W,View,Jack,$C$6
✓,Swords to Plowshares,Instant,W,View,Aspi,$D$4
✓,Reprieve,Instant,W,View,Aspi,$D$7
✓,Thraben Charm,Instant,W,View,Jack,$C$31
✓,Unexpectedly Absent,Instant,W,View,Jack,$C$13
✓,Oust,Sorcery,W,View,Aspi,$D$6
✓,Prismatic Ending,Sorcery,W,View,Max,$J$13
✓,Winds of Abandon,Sorcery,W,View,Jack,$C$18
✓,Sevinne's Reclamation,Sorcery,W,View,LastAbzan,$I$18
✓,Battle Screech,Sorcery,W,View,Aspi,$D$41
✓,Day of Judgment,Sorcery,W,View,Max,$J$31
✓,Sunfall,Sorcery,W,View,Mr. Fancypants,$K$29
✓,Portable Hole,Artifact,W,View,Jack,$C$21
✓,Glimmer Lens,Artifact — Equipment,W,View,Aspi,$D$14
✓,Staff of the Storyteller,Artifact,W,View,Aspi,$D$15
✓,Maul of the Skyclaves,Artifact — Equipment,W,View,Jack,$C$30
✓,Unidentified Hovership,Artifact — Vehicle,W,View,Jack,$C$35
✓,Legion's Landing,Legendary Enchantment,W,View,Aspi,$D$21
✓,Michiko's Reign of Truth,Enchantment — Saga,W,View,Greg,$M$47
✓,Sheltered by Ghosts,Enchantment — Aura,W,View,Mr. Fancypants,$K$16
✓,Aang's Iceberg,Enchantment,W,View,Mr. Fancypants,$K$34
✓,Caretaker's Talent,Enchantment — Class,W,View,Aspi,$D$34
✓,Wedding Announcement,Enchantment,W,View,Mr. Fancypants,$K$17
✓,Virtue of Loyalty,Enchantment,W,View,Aspi,$D$24
✓,"Gideon, Ally of Zendikar",Legendary Planeswalker — Gideon,W,View,Aspi,$D$38
✓,The Wandering Emperor,Legendary Planeswalker,W,View,Aspi,$D$27
✓,Abandoned Air Temple,Land,W,View,Jack,$C$20
✓,Mockingbird,Creature — Bird Bard,U,View,LastAbzan,$I$42
✓,Phantasmal Shieldback,Creature — Turtle Illusion,U,View,Ray Bees,$H$34
✓,Spyglass Siren,Creature — Siren Pirate,U,View,Ray Bees,$H$41
✓,Duelist of the Mind,Creature — Human Advisor,U,View,Max,$J$45
✓,Faerie Mastermind,Creature — Faerie Rogue,U,View,Ray Bees,$H$30
✓,Floodpits Drowner,Creature — Merfolk,U,View,Ray Bees,$H$31
✓,"Jace, Vryn's Prodigy",Legendary Creature — Human Wizard,U,View,Ray Bees,$H$22
✓,"Kitsa, Otterball Elite",Legendary Creature — Otter Wizard,U,View,LastAbzan,$I$36
✓,Ledger Shredder,Creature — Bird Advisor,U,View,Ray Bees,$H$13
✓,"Malcolm, Alluring Scoundrel",Legendary Creature — Siren Pirate,U,View,Greg,$M$19
✓,Mischievous Mystic,Creature — Human Wizard,U,View,Greg,$M$45
✓,Phantasmal Image,Creature — Illusion,U,View,Ray Bees,$H$33
✓,Silent Hallcreeper,Enchantment Creature — Horror,U,View,Ray Bees,$H$43
✓,Snapcaster Mage,Creature — Human Wizard,U,View,LastAbzan,$I$14
✓,Thundertrap Trainer,Creature — Otter Wizard,U,View,LastAbzan,$I$21
✓,"Wan Shi Tong, Librarian",Legendary Creature — Bird Spirit,U,View,Ray Bees,$H$17
✓,Abhorrent Oculus,Creature — Eye,U,View,LastAbzan,$I$30
✓,Brazen Borrower,Creature — Faerie Rogue,U,View,Ray Bees,$H$28
✓,Chrome Host Seedshark,Creature — Phyrexian Shark,U,View,Jack,$C$42
✓,Forensic Gadgeteer,Creature — Vedalken Artificer Detective,U,View,Greg,$M$34
✓,"Kiora, the Rising Tide",Legendary Creature — Merfolk Noble,U,View,Max,$J$35
✓,Phyrexian Metamorph,Artifact Creature — Phyrexian Shapeshifter,U,View,Greg,$M$40
✓,"The Mechanist, Aerial Artisan",Legendary Creature — Human Artificer Ally,U,View,Greg,$M$26
✓,Vendilion Clique,Legendary Creature — Faerie Wizard,U,View,Ray Bees,$H$29
✓,Enduring Curiosity,Enchantment Creature — Cat Glimmer,U,View,Ray Bees,$H$32
✓,Micromancer,Creature — Human Wizard,U,View,Max,$J$46
✓,Subtlety,Creature — Elemental Incarnation,U,View,Ray Bees,$H$9
✓,"Urza, Lord High Artificer",Legendary Creature — Human Artificer,U,View,Greg,$M$4
✓,"Venser, Shaper Savant",Legendary Creature — Human Wizard,U,View,Ray Bees,$H$23
✓,Quantum Riddler,Creature — Sphinx,U,View,Max,$J$4
✓,"Wan Shi Tong, All-Knowing",Legendary Creature — Bird Spirit,U,View,Ray Bees,$H$4
✓,Kappa Cannoneer,Artifact Creature — Turtle Warrior,U,View,Greg,$M$21
✓,Torrential Gearhulk,Artifact Creature — Construct,U,View,Ray Bees,$H$19
✓,Brainstorm,Instant,U,View,Max,$J$21
✓,Consider,Instant,U,View,Ray Bees,$H$26
✓,Fading Hope,Instant,U,View,Ray Bees,$H$20
✓,Force Spike,Instant,U,View,LastAbzan,$I$26
✓,Spell Pierce,Instant,U,View,LastAbzan,$I$16
✓,Stern Scolding,Instant,U,View,Greg,$M$8
✓,Thought Scour,Instant,U,View,Ray Bees,$H$27
✓,Three Steps Ahead,Instant,U,View,Max,$J$29
✓,Counterspell,Instant,U,View,Greg,$M$20
✓,Make Disappear,Instant,U,View,Ray Bees,$H$25
✓,Mana Leak,Instant,U,View,Ray Bees,$H$11
✓,Memory Lapse,Instant,U,View,Ray Bees,$H$6
✓,Miscalculation,Instant,U,View,Ray Bees,$H$24
✓,Remand,Instant,U,View,Ray Bees,$H$14
✓,Cryptic Command,Instant,U,View,Ray Bees,$H$21
✓,Mystic Confluence,Instant,U,View,Greg,$M$12
✓,Sublime Epiphany,Instant,U,View,LastAbzan,$I$28
✓,Boomerang Basics,Sorcery — Lesson,U,View,Max,$J$15
✓,Hard Evidence,Sorcery,U,View,Greg,$M$42
✓,Ponder,Sorcery,U,View,Ray Bees,$H$18
✓,Preordain,Sorcery,U,View,LastAbzan,$I$23
✓,Chart a Course,Sorcery,U,View,LastAbzan,$I$37
✓,Day's Undoing,Sorcery,U,View,LastAbzan,$I$6
✓,Stock Up,Sorcery,U,View,Ray Bees,$H$5
✓,Unnerving Grasp,Sorcery,U,View,Ray Bees,$H$16
✓,Winternight Stories,Sorcery,U,View,Max,$J$38
✓,Lórien Revealed,Sorcery,U,View,Ray Bees,$H$12
✓,Temporal Manipulation,Sorcery,U,View,Ray Bees,$H$8
✓,Time Warp,Sorcery,U,View,Ray Bees,$H$7
✓,Treasure Cruise,Sorcery,U,View,Max,$J$20
✓,Aether Spellbomb,Artifact,U,View,Greg,$M$28
✓,Astrologian's Planisphere,Artifact — Equipment,U,View,Greg,$M$33
✓,Cryptic Coat,Artifact — Equipment,U,View,Ray Bees,$H$44
✓,Stormchaser's Talent,Enchantment — Class,U,View,Ray Bees,$H$15
✓,Unable to Scream,Enchantment — Aura,U,View,Keith,$N$18
✓,Proft's Eidetic Memory,Legendary Enchantment,U,View,Max,$J$22
✓,"Narset, Parter of Veils",Legendary Planeswalker — Narset,U,View,LastAbzan,$I$12
✓,"Jace, the Mind Sculptor",Legendary Planeswalker — Jace,U,View,Keith,$N$32
✓,Mystic Sanctuary,Land — Island,U,View,Ray Bees,$H$10
✓,"Otawara, Soaring City",Legendary Land,U,View,Greg,$M$32
✓,Concealing Curtains,Creature — Wall,B,View,baronvonfonz,$L$37
✓,Forsaken Miner,Creature — Skeleton Rogue,B,View,baronvonfonz,$L$26
✓,Knight of the Ebon Legion,Creature — Vampire Knight,B,View,LastAbzan,$I$45
✓,Nethergoyf,Creature — Lhurgoyf,B,View,LastAbzan,$I$41
✓,Stalactite Stalker,Creature — Goblin Rogue,B,View,baronvonfonz,$L$38
✓,Stitcher's Supplier,Creature — Zombie,B,View,arborist77,$E$43
✓,Blade of the Oni,Artifact Creature — Equipment Demon,B,View,arborist77,$E$48
✓,Bloodghast,Creature — Vampire Spirit,B,View,baronvonfonz,$L$15
✓,Caustic Bronco,Creature — Snake Horse Mount,B,View,Jack,$C$43
✓,Dark Confidant,Creature — Human Wizard,B,View,Aspi,$D$44
✓,Dauthi Voidwalker,Creature — Dauthi Rogue,B,View,LastAbzan,$I$19
✓,Deep-Cavern Bat,Creature — Bat,B,View,arborist77,$E$6
✓,"Jadar, Ghoulcaller of Nephalia",Legendary Creature — Human Wizard,B,View,Aspi,$D$20
✓,Marionette Apprentice,Creature — Human Artificer,B,View,baronvonfonz,$L$19
✓,Misery's Shadow,Creature — Shade,B,View,LastAbzan,$I$38
✓,Priest of Forgotten Gods,Creature — Human Cleric,B,View,Jack,$C$40
✓,Sinkhole Surveyor,Creature — Bird Scout,B,View,baronvonfonz,$L$41
✓,Tenacious Underdog,Creature — Human Warrior,B,View,LastAbzan,$I$43
✓,"Tourach, Dread Cantor",Legendary Creature — Human Cleric,B,View,LastAbzan,$I$32
✓,"Gix, Yawgmoth Praetor",Legendary Creature — Phyrexian Praetor,B,View,Aspi,$D$46
✓,Ophiomancer,Creature — Human Shaman,B,View,baronvonfonz,$L$13
✓,Preacher of the Schism,Creature — Vampire Cleric,B,View,LastAbzan,$I$40
✓,Raven Eagle,Creature — Bird Assassin,B,View,arborist77,$E$21
✓,Rotting Regisaur,Creature — Zombie Dinosaur,B,View,arborist77,$E$37
✓,"Sephiroth, Fabled SOLDIER",Legendary Creature — Human Avatar Soldier,B,View,Aspi,$D$16
✓,Warren Soultrader,Creature — Zombie Goblin Wizard,B,View,baronvonfonz,$L$30
✓,Archfiend of the Dross,Creature — Phyrexian Demon,B,View,arborist77,$E$46
✓,Grief,Creature — Elemental Incarnation,B,View,arborist77,$E$19
✓,Hostile Investigator,Creature — Ogre Rogue Detective,B,View,arborist77,$E$29
✓,"Sheoldred, the Apocalypse",Legendary Creature — Phyrexian Praetor,B,View,LastAbzan,$I$4
✓,"Yawgmoth, Thran Physician",Legendary Creature — Human Cleric,B,View,Aspi,$D$12
✓,Overlord of the Balemurk,Enchantment Creature — Avatar Horror,B,View,baronvonfonz,$L$17
✓,Crabomination,Creature — Crab Demon,B,View,arborist77,$E$18
✓,Grave Titan,Creature — Giant,B,View,arborist77,$E$42
✓,Troll of Khazad-dûm,Creature — Troll,B,View,arborist77,$E$17
✓,Cut Down,Instant,B,View,baronvonfonz,$L$21
✓,Dark Ritual,Instant,B,View,LastAbzan,$I$31
✓,Fatal Push,Instant,B,View,Aspi,$D$9
✓,Bitter Triumph,Instant,B,View,arborist77,$E$20
✓,Go for the Throat,Instant,B,View,LastAbzan,$I$34
✓,Infernal Grasp,Instant,B,View,Ray Bees,$H$42
✓,Sheoldred's Edict,Instant,B,View,Max,$J$42
✓,Dismember,Instant,B,View,Jack,$C$8
✓,Saw in Half,Instant,B,View,arborist77,$E$40
✓,Fell the Profane,Instant,B,View,arborist77,$E$34
✓,Pile On,Instant,B,View,baronvonfonz,$L$25
✓,Snuff Out,Instant,B,View,arborist77,$E$11
✓,Murderous Cut,Instant,B,View,baronvonfonz,$L$35
✓,Bloodchief's Thirst,Sorcery,B,View,LastAbzan,$I$25
✓,Bone Shards,Sorcery,B,View,baronvonfonz,$L$23
✓,Duress,Sorcery,B,View,arborist77,$E$30
✓,Inquisition of Kozilek,Sorcery,B,View,Aspi,$D$8
✓,Reanimate,Sorcery,B,View,arborist77,$E$4
✓,Thoughtseize,Sorcery,B,View,arborist77,$E$5
✓,Unearth,Sorcery,B,View,LastAbzan,$I$27
