,,Rotisserie Draft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Ray Bees,Keith,Aviseras,Tendertouch,dillon_k,philjackson,Greg Sobetski,Nova,clong,Mr. Fancypants,,,,,,,,,,,,,,,,,,,,
1,→,"Phelia, Exuberant Shepherd",Fable of the Mirror-Breaker,"Ragavan, Nimble Pilferer",Badgermole Cub,Swords to Plowshares,Thoughtseize,Stock Up,Strip Mine,Pyrogoyf,Ancient Tomb,,,↩, ,,,Draft Status,,,,W,R,R,G,W,B,U,C,R,C
2,↪,Ephemerate,Fury,Lightning Bolt,Springheart Nantuko,Solitude,"Sheoldred, the Apocalypse","Wan Shi Tong, Librarian",Scythecat Cub,Quantum Riddler,"Urza, Lord High Artificer",,,,,,,Double Picks After:,25,,,W,R,R,G,W,B,U,G,U,U
3,,Flickerwisp,Fear of Missing Out,"Inti, Seneschal of the Sun",Icetill Explorer,Stoneforge Mystic,Dismember,Remand,"Uro, Titan of Nature's Wrath",Memory Lapse,Mana Leak,,,↩,,,,Players:,10,,,W,R,R,G,W,B,U,UG,U,U
4,↪,Loran of the Third Path,Demonic Tutor,"Laelia, the Blade Reforged",Six,Mother of Runes,"Sephiroth, Fabled SOLDIER",Fallen Shinobi,"Bristly Bill, Spine Sower",Scalding Tarn,Retrofitter Foundry,,,,,,,Picks per Player:,45,,,W,B,R,G,W,B,UB,G,C,C
5,,Overlord of the Mistmoors,Crabomination,Chain Lightning,"Titania, Protector of Argoth","Teferi, Time Raveler",Toxic Deluge,Subtlety,Tireless Tracker,Mishra's Bauble,Scalding Tarn 2,,,↩,,,,Total Picks:,450,,,W,B,R,G,WU,B,U,G,C,C
6,↪,Blade Splicer,Fatal Push,"Ivora, Insatiable Heir",Ignoble Hierarch,Flooded Strand 2,Voice of Victory,Polluted Delta,Misty Rainforest,Flooded Strand,Celestial Colonnade,,,,,,,Picks Made:,450,,,W,B,R,BRG,C,W,C,C,C,WU
7,,"Toby, Beastie Befriender",Grief,Cori-Steel Cutter,Endurance,Reprieve,Path to Exile,Polluted Delta 2,Misty Rainforest 2,Mystic Confluence,Sublime Epiphany,,,↩,,,,Picks Remaining:,0,,,W,B,R,G,W,W,C,C,U,U
8,↪,Portable Hole,Bloodstained Mire,Burst Lightning,Malevolent Rumble,Hallowed Fountain,Overlord of the Balemurk,Deep-Cavern Bat,Verdant Catacombs,Lórien Revealed,Currency Converter,,,,,,,Making Double Picks:,TRUE,,,W,C,R,G,WU,B,B,C,U,C
9,,Unexpectedly Absent,Bloodstained Mire 2,Screaming Nemesis,Life // Death,"Malcolm, Alluring Scoundrel",Deathrite Shaman,Smuggler's Copter,Noble Hierarch,Unholy Heat,Chrome Mox,,,↩,,,,Next Player if Single Pick:,10,,,W,C,R,BG,U,BG,C,WUG,R,C
10,↪,Glimmer Lens,Murderous Cut,Seasoned Pyromancer,Verdant Catacombs 2,The Wandering Emperor,Sinkhole Surveyor,Snuff Out,Sazh's Chocobo,"Otawara, Soaring City",Snapcaster Mage,,,,,,,Next Player if Double Pick,10,,,W,B,R,C,W,B,B,G,U,U
11,,Staff of the Storyteller,Generous Plunderer,Tersa Lightshatter,Wooded Foothills,Oust,Bitterblossom,Cryptic Coat,Abhorrent Oculus,Abrade,Counterspell,,,↩,,,,Round Number:,45,,,W,R,R,C,W,B,U,U,R,U
12,↪,Novice Inspector,Dragon's Rage Channeler,Fireblast,Elvish Mystic,"Adeline, Resplendent Cathar","Yawgmoth, Thran Physician",Silent Hallcreeper,Llanowar Elves,Birds of Paradise,Chrome Host Seedshark,,,,,,,Next Player:,FALSE,,,W,R,R,,W,B,U,G,G,U
13,,Thraben Inspector,Bonecrusher Giant,Hired Claw,Wooded Foothills 2,Marsh Flats,Marsh Flats 2,Infernal Grasp,Breeding Pool,Arid Mesa,Arid Mesa 2,,,↩,,,,Next Row:,45,,,W,R,R,C,C,C,B,UG,C,C
14,↪,Caretaker's Talent,"Cecil, Dark Knight",Earthshaker Khenra,Stomping Ground 2,Elite Spellbinder,"Suki, Courageous Rescuer",Inquisition of Kozilek,Stomping Ground,Fanatic of Rhonas,Brainstorm,,,,,,,Next Player Name:,FALSE,,,W,WB,R,RG,W,W,B,RG,G,U
15,,Condemn,Knight of the Ebon Legion,"Kari Zev, Skyship Raider",Sylvan Safekeeper,Batterskull,Go for the Throat,"Wan Shi Tong, All-Knowing",Wrenn and Six,Breeding Pool 2,Steam Vents,,,↩,,,,Draft Active:,FALSE,,,W,B,R,G,C,B,U,RG,UG,
16,↪,Legion's Landing,Dauthi Voidwalker,Robber of the Rich,Questing Beast,Esper Sentinel,The Meathook Massacre,Watery Grave,Lotus Cobra,Mox Opal,Steam Vents 2,,,,,,,,,,,W,B,R,G,W,B,UB,G,C,UR
17,,Containment Priest,Preacher of the Schism,"Chandra, Torch of Defiance",Molt Tender,No More Lies,Marionette Apprentice,Floodpits Drowner,"Sandman, Shifting Scoundrel",Kappa Cannoneer,Phyrexian Metamorph,,,↩,,,,,,,,W,B,R,G,WU,B,U,G,U,U
18,↪,Blinkmoth Nexus,Gix's Command,Flame Slash,Green Sun's Zenith,Lion Sash,Godless Shrine 2,Damnation,Overgrown Tomb,"Saheeli, Sublime Artificer",Third Path Iconoclast,,,,,,,,,,,C,B,R,G,W,WB,B,BG,UR,UR
19,,Mutavault,Bitter Triumph,"Lutri, the Spellchaser",Wurmcoil Engine,Giver of Runes,Blood Crypt 2,Mystic Sanctuary,Tear Asunder,Thundering Falls,"The Mechanist, Aerial Artisan",,,↩,,,,,,,,C,B,UR,C,W,BR,U,BG,UR,U
20,↪,Anticausal Vestige,Quag Feast,Figure of Destiny,Pest Infestation,Serra Paragon,Raven Eagle,Caustic Bronco,Windswept Heath,Esika's Chariot,"Kitsa, Otterball Elite",,,,,,,,,,,C,B,WR,G,W,B,B,C,G,U
21,,Enduring Innocence,Fell the Profane,Pyrokinesis,Lumbering Worldwagon,Ledger Shredder,Fell,Miscalculation,Necromancy,Prismatic Vista,Pyrite Spellbomb,,,↩,,,,,,,,W,B,R,G,U,B,U,B,C,R
22,↪,Abandoned Air Temple,Blood Crypt,Gingerbrute,Overgrown Tomb 2,Windswept Heath 2,Dark Confidant,Sheoldred's Edict,Overlord of the Hauntwoods,Sylvan Caryatid,Aether Spellbomb,,,,,,,,,,,W,BR,C,BG,C,B,B,G,G,U
23,,"Gideon, Ally of Zendikar","Tourach, Dread Cantor",Carnage Interpreter,Agatha's Soul Cauldron,Consult the Star Charts,Unearth,Watery Grave 2,Territorial Kavu,Torrential Gearhulk,Torch the Tower,,,↩,,,,,,,,W,B,BR,C,U,B,UB,RG,U,R
