 ,Card,Type,Color,View,UR,
✓,Descendant of Storms,Creature — Human Soldier,W,View,philjackson,$H$30
✓,Esper Sentinel,Artifact Creature — Human Soldier,W,View,dillon_k,$G$19
✓,Giver of Runes,Creature — Kor Cleric,W,View,dillon_k,$G$22
✓,"Kytheon, Hero of Akros",Legendary Creature — Human Soldier,W,View,Ray Bees,$C$41
✓,Mother of Runes,Creature — Human Cleric,W,View,dillon_k,$G$7
✓,Novice Inspector,Creature — Human Detective,W,View,Ray Bees,$C$15
✓,Thraben Inspector,Creature — Human Soldier,W,View,Ray Bees,$C$16
✓,Usher of the Fallen,Creature — Spirit Warrior,W,View,philjackson,$H$38
✓,Cathar Commando,Creature — Human Soldier,W,View,Ray Bees,$C$42
✓,Clarion Spirit,Creature — Spirit,W,View,Ray Bees,$C$45
✓,"Cloud, Midgar Mercenary",Legendary Creature — Human Soldier Mercenary,W,View,dillon_k,$G$41
✓,Containment Priest,Creature — Human Cleric,W,View,Ray Bees,$C$20
✓,Intrepid Adversary,Creature — Human Scout,W,View,Mr. Fancypants,$L$35
✓,Lion Sash,Artifact Creature — Equipment Cat,W,View,dillon_k,$G$21
✓,Luminarch Aspirant,Creature — Human Cleric,W,View,dillon_k,$G$27
✓,"Phelia, Exuberant Shepherd",Legendary Creature — Dog,W,View,Ray Bees,$C$4
✓,Spectacular Spider-Man,Legendary Creature — Spider Human Hero,W,View,Ray Bees,$C$44
✓,Splitskin Doll,Artifact Creature — Toy,W,View,Ray Bees,$C$43
✓,Stoneforge Mystic,Creature — Kor Artificer,W,View,dillon_k,$G$6
✓,Sungold Sentinel,Creature — Human Soldier,W,View,philjackson,$H$42
✓,"Thalia, Guardian of Thraben",Legendary Creature — Human Soldier,W,View,philjackson,$H$39
✓,Voice of Victory,Creature — Human Bard,W,View,philjackson,$H$9
✓,"Adeline, Resplendent Cathar",Legendary Creature — Human Knight,W,View,dillon_k,$G$15
✓,Blade Splicer,Creature — Phyrexian Human Artificer,W,View,Ray Bees,$C$9
✓,Cosmogrand Zenith,Creature — Human Soldier,W,View,Mr. Fancypants,$L$36
✓,Elite Spellbinder,Creature — Human Cleric,W,View,dillon_k,$G$17
✓,Enduring Innocence,Enchantment Creature — Sheep Glimmer,W,View,Ray Bees,$C$24
✓,Flickerwisp,Creature — Elemental,W,View,Ray Bees,$C$6
✓,Loran of the Third Path,Legendary Creature — Human Artificer,W,View,Ray Bees,$C$7
✓,Monastery Mentor,Creature — Human Monk,W,View,dillon_k,$G$38
✓,Ranger-Captain of Eos,Creature — Human Soldier Ranger,W,View,Ray Bees,$C$46
✓,Sanguine Evangelist,Creature — Vampire Cleric,W,View,Ray Bees,$C$31
✓,Skyclave Apparition,Creature — Kor Spirit,W,View,Ray Bees,$C$27
✓,"Suki, Courageous Rescuer",Legendary Creature — Human Warrior Ally,W,View,philjackson,$H$17
✓,"Toby, Beastie Befriender",Legendary Creature — Human Wizard,W,View,Ray Bees,$C$10
✓,Ranger of Eos,Creature — Human Soldier Ranger,W,View,Ray Bees,$C$47
✓,Restoration Angel,Creature — Angel,W,View,Ray Bees,$C$29
