,,Rotisserie Draft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,coopergfrye,ILIJILILI,adhavoc,lastabzan,dkriddles,philjackson,gogey,clorpy,tendertouch,aviseras,,,,,,,,,,,,,,,,,,,,
1,→,"Tamiyo, Inquisitive Student",Reanimate,Swords to Plowshares,Demonic Tutor,"Ragavan, Nimble Pilferer",Birds of Paradise,Mana Leak,Wrenn and Six,Crabomination,"Phelia, Exuberant Shepherd",,,↩, ,,,Draft Status,,,,UG,B,W,B,R,G,U,RG,B,W
2,↪,Ignoble Hierarch,Thoughtseize,Ocelot Pride,Currency Converter,Pyrogoyf,Barrowgoyf,"Urza, Lord High Artificer",Strip Mine,Fallen Shinobi,Solitude,,,,,,,Double Picks After:,20,,,BRG,B,W,C,R,B,U,C,UB,W
3,,Noble Hierarch,"Gut, True Soul Zealot","Phlage, Titan of Fire's Fury",Mox Opal,Ancient Tomb,Emperor of Bones,Memory Lapse,Malevolent Rumble,"Sheoldred, the Apocalypse",Mother of Runes,,,↩,,,,Players:,10,,,WUG,R,WR,C,C,B,U,G,B,W
4,↪,Misty Rainforest 2,Troll of Khazad-dûm,Goblin Bombardment,Deathrite Shaman,Fable of the Mirror-Breaker,Icetill Explorer,Quantum Riddler,"Uro, Titan of Nature's Wrath",Dauthi Voidwalker,Chrome Mox,,,,,,,Picks per Player:,45,,,C,B,R,BG,R,G,U,UG,B,C
5,,Misty Rainforest,Bloodstained Mire,Lightning Bolt,Lurrus of the Dream-Den,Dismember,"Bristly Bill, Spine Sower",Remand,Wooded Foothills,Dark Ritual,Path to Exile,,,↩,,,,Total Picks:,450,,,C,C,R,WB,B,G,U,C,B,W
6,↪,Scythecat Cub,Overlord of the Mistmoors,Arid Mesa,The Meathook Massacre,Fury,Fatal Push,Lórien Revealed,Primeval Titan,Overlord of the Balemurk,Giver of Runes,,,,,,,Picks Made:,450,,,G,W,C,B,R,B,U,G,B,W
7,,Springheart Nantuko,"Sephiroth, Fabled SOLDIER",Reprieve,Marionette Apprentice,Chain Lightning,"Inti, Seneschal of the Sun",Retrofitter Foundry,Scalding Tarn,Time Warp,Elite Spellbinder,,,↩,,,,Picks Remaining:,0,,,G,B,W,B,R,R,C,C,U,W
8,↪,Six,Smuggler's Copter,Stoneforge Mystic,Chthonian Nightmare,"Laelia, the Blade Reforged",Bloodstained Mire 2,Mishra's Bauble,Wooded Foothills 2,Temporal Manipulation,Thraben Inspector,,,,,,,Making Double Picks:,TRUE,,,G,C,W,B,R,C,C,C,U,W
9,,Verdant Catacombs 2,"Yawgmoth, Thran Physician",Arena of Glory,Bitterblossom,Scalding Tarn 2,Verdant Catacombs,Cryptic Command,Fanatic of Rhonas,Stock Up,Novice Inspector,,,↩,,,,Next Player if Single Pick:,10,,,C,B,R,B,C,C,U,G,U,W
10,↪,Windswept Heath 2,Marsh Flats,Arid Mesa 2,Agatha's Soul Cauldron,Flame Slash,Fear of Missing Out,Snapcaster Mage,"Rofellos, Llanowar Emissary",Unholy Annex // Ritual Chamber,Blade Splicer,,,,,,,Next Player if Double Pick,6,,,C,C,C,C,R,R,U,G,B,W
11,,Windswept Heath,Marsh Flats 2,Voice of Victory,Staff of the Storyteller,Spell Pierce,Unearth,Mystic Confluence,Breeding Pool,Toxic Deluge,"Toby, Beastie Befriender",,,↩,,,,Round Number:,45,,,C,C,W,W,U,B,U,UG,B,W
12,↪,Breeding Pool 2,Sacred Foundry 2,Sacred Foundry,Bitter Triumph,Bonecrusher Giant,Infernal Grasp,Brainstorm,"Nissa, Who Shakes the World",Quag Feast,The Wandering Emperor,,,,,,,Next Player:,FALSE,,,UG,WR,WR,B,R,B,U,G,B,W
13,,Flooded Strand 2,Priest of Forgotten Gods,Steam Vents 2,Chromatic Star,Steam Vents,Blood Crypt,Subtlety,Hedge Maze,Polluted Delta 2,Micromancer,,,↩,,,,Next Row:,44,,,C,B,UR,C,UR,BR,U,UG,C,U
14,↪,Oust,Blood Crypt 2,Hallowed Fountain,Umbral Collar Zealot,Burst Lightning,Overgrown Tomb,Ponder,Esika's Chariot,Polluted Delta,Flooded Strand,,,,,,,Next Player Name:,FALSE,,,W,BR,WU,B,R,BG,U,G,C,C
15,,Prismatic Ending,Lingering Souls,"Elspeth, Storm Slayer",Prismatic Vista,Brazen Borrower,Dark Confidant,Mystic Sanctuary,"Boseiju, Who Endures",Deep-Cavern Bat,Hallowed Fountain 2,,,↩,,,,Draft Active:,FALSE,,,W,WB,W,C,U,B,U,G,B,WU
16,↪,Lotus Cobra,Cut Down,Elegant Parlor,Cathar Commando,Bloodthirsty Adversary,Sazh's Chocobo,Astrologian's Planisphere,Stomping Ground,Necromancy,Ephemerate,,,,,,,,,,,G,B,WR,W,R,G,U,RG,B,W
17,,"Teferi, Time Raveler",Bone Shards,Seasoned Pyromancer,Selfless Spirit,"Malcolm, Alluring Scoundrel",Innkeeper's Talent,Faerie Mastermind,Tireless Tracker,Thundering Falls,Skyclave Apparition,,,↩,,,,,,,,WU,B,R,W,U,G,U,G,UR,W
18,↪,Sentinel of the Nameless City,Godless Shrine 2,Thraben Charm,Godless Shrine,"Kari Zev, Skyship Raider",Pawpatch Recruit,Counterspell,Endurance,Raucous Theater,Journey to Nowhere,,,,,,,,,,,G,WB,W,WB,R,G,U,G,BR,W
19,,Hunter's Talent,Forsaken Miner,Relic of Progenitus,Talisman of Conviction,Spyglass Siren,Tenacious Underdog,"Otawara, Soaring City",Tireless Provisioner,Watery Grave 2,Restoration Angel,,,↩,,,,,,,,G,B,C,WR,U,B,U,G,UB,W
20,↪,Elvish Mystic,Bloodghast,Detective's Phoenix,Portable Hole,"Chandra, Torch of Defiance",Liliana of the Veil,Sublime Epiphany,Inscription of Abundance,Watery Grave,Seachrome Coast,,,,,,,,,,,G,B,R,W,R,B,U,G,UB,WU
21,,Utopia Sprawl,Blackcleave Cliffs,"Adeline, Resplendent Cathar",Concealed Courtyard,Spirebluff Canal,Glissa Sunslayer,Stern Scolding,Molt Tender,Baleful Strix,Containment Priest,,,↩,,,,,,,,G,BR,W,WB,UR,BG,U,G,UB,W
22,,Serra Paragon,"Jadar, Ghoulcaller of Nephalia",Batterskull,Hangarback Walker,"Magda, Brazen Outlaw",Fell,Torrential Gearhulk,Llanowar Elves,Chart a Course,Flickerwisp,,,,,,,,,,,W,B,C,C,R,B,U,G,U,W
23,↪,"Plagon, Lord of the Beach",Restless Vents,Cori-Steel Cutter,Inspiring Vantage,Kumano Faces Kakkazan,Elegy Acolyte,Sink into Stupor,Overlord of the Hauntwoods,Ledger Shredder,Ranger-Captain of Eos,,,,,,,,,,,WU,BR,R,WR,R,B,U,G,U,W
