,Card,Type,Color,View,Picked By,
✓,Descendant of Storms,Creature — Human Soldier,W,View,adhavoc,$E$47
✓,Esper Sentinel,Artifact Creature — Human Soldier,W,View,adhavoc,$E$31
✓,Giver of Runes,Creature — Kor Cleric,W,View,aviseras,$L$9
✓,"Kytheon, Hero of Akros",Legendary Creature — Human Soldier,W,View,adhavoc,$E$48
✓,Mother of Runes,Creature — Human Cleric,W,View,aviseras,$L$6
✓,Novice Inspector,Creature — Human Detective,W,View,aviseras,$L$12
✓,Ocelot Pride,Creature — Cat,W,View,adhavoc,$E$5
✓,Thraben Inspector,Creature — Human Soldier,W,View,aviseras,$L$11
✓,Usher of the Fallen,Creature — Spirit Warrior,W,View,adhavoc,$E$44
✓,Zack Fair,Legendary Creature — Human Soldier,W,View,coopergfrye,$C$27
✓,Cathar Commando,Creature — Human Soldier,W,View,lastabzan,$F$19
✓,Charming Prince,Creature — Human Noble,W,4,aviseras,$L$44
✓,Clarion Spirit,Creature — Spirit,W,View,adhavoc,$E$28
✓,"Cloud, Midgar Mercenary",Legendary Creature — Human Soldier Mercenary,W,View,aviseras,$L$32
✓,Containment Priest,Creature — Human Cleric,W,View,aviseras,$L$24
✓,Intrepid Adversary,Creature — Human Scout,W,View,aviseras,$L$30
✓,Luminarch Aspirant,Creature — Human Cleric,W,View,aviseras,$L$29
✓,"Phelia, Exuberant Shepherd",Legendary Creature — Dog,W,View,aviseras,$L$4
✓,Selfless Spirit,Creature — Spirit Cleric,W,View,lastabzan,$F$20
✓,Stoneforge Mystic,Creature — Kor Artificer,W,View,adhavoc,$E$11
✓,"Thalia, Guardian of Thraben",Legendary Creature — Human Soldier,W,View,adhavoc,$E$38
✓,Voice of Victory,Creature — Human Bard,W,View,adhavoc,$E$14
✓,Wall of Omens,Creature — Wall,W,View,coopergfrye,$C$41
✓,"Adeline, Resplendent Cathar",Legendary Creature — Human Knight,W,View,adhavoc,$E$24
✓,Blade Splicer,Creature — Phyrexian Human Artificer,W,View,aviseras,$L$13
✓,Cosmogrand Zenith,Creature — Human Soldier,W,View,adhavoc,$E$34
✓,Elite Spellbinder,Creature — Human Cleric,W,View,aviseras,$L$10
✓,Flickerwisp,Creature — Elemental,W,View,aviseras,$L$25
✓,Loran of the Third Path,Legendary Creature — Human Artificer,W,View,ILIJILILI,$D$35
,Monastery Mentor,Creature — Human Monk,W,View,,
,Oltec Matterweaver,Creature — Human Artificer,W,View,,
✓,Ranger-Captain of Eos,Creature — Human Soldier Ranger,W,View,aviseras,$L$26
✓,Sanguine Evangelist,Creature — Vampire Cleric,W,View,ILIJILILI,$D$33
✓,Skyclave Apparition,Creature — Kor Spirit,W,View,aviseras,$L$20
✓,"Thalia, Heretic Cathar",Legendary Creature — Human Soldier,W,View,adhavoc,$E$39
✓,"Toby, Beastie Befriender",Legendary Creature — Human Wizard,W,View,aviseras,$L$14
✓,Restoration Angel,Creature — Angel,W,View,aviseras,$L$22
✓,Serra Paragon,Creature — Angel,W,View,coopergfrye,$C$25
✓,Witch Enchanter,Creature — Human Warlock,W,View,aviseras,$L$27
✓,Solitude,Creature — Elemental Incarnation,W,View,aviseras,$L$5
,Timeless Dragon,Creature — Dragon,W,View,,
✓,Eagles of the North,Creature — Bird Soldier,W,View,adhavoc,$E$30
✓,Steel Seraph,Artifact Creature — Angel,W,View,aviseras,$L$48
✓,Overlord of the Mistmoors,Enchantment Creature — Avatar Horror,W,View,ILIJILILI,$D$9
✓,Condemn,Instant,W,View,aviseras,$L$28
✓,Ephemerate,Instant,W,View,aviseras,$L$19
✓,Path to Exile,Instant,W,View,aviseras,$L$8
✓,Swords to Plowshares,Instant,W,View,adhavoc,$E$4
✓,Get Lost,Instant,W,View,adhavoc,$E$40
✓,Reprieve,Instant,W,View,adhavoc,$E$10
✓,Thraben Charm,Instant,W,View,adhavoc,$E$21
✓,Oust,Sorcery,W,View,coopergfrye,$C$17
✓,Prismatic Ending,Sorcery,W,View,coopergfrye,$C$18
✓,Sevinne's Reclamation,Sorcery,W,View,coopergfrye,$C$29
✓,Battle Screech,Sorcery,W,View,aviseras,$L$45
✓,Day of Judgment,Sorcery,W,View,aviseras,$L$38
