,,Rotisserie Draft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,watdajel,LastAbzan,Lame4Fame,MurmurTwin,Rich,ThorH,Max,MONERSTOR,Valentin,Taktikerpups,,,,,,,,,,,,,,,,,,,,
1,→,"Ragavan, Nimble Pilferer","Phelia, Exuberant Shepherd",Chrome Mox,Strip Mine,Ancient Tomb,Badgermole Cub,Swords to Plowshares,"Urza, Lord High Artificer",Lurrus of the Dream-Den,Subtlety,,,↩, ,,,Draft Status,,,,R,W,C,C,C,G,W,U,WB,U
2,↪,Fury,Mother of Runes,Thoughtseize,"Titania, Protector of Argoth",Fable of the Mirror-Breaker,Springheart Nantuko,Solitude,Pyrogoyf,Smuggler's Copter,Mystic Confluence,,,,,,,Double Picks After:,25,,,R,W,B,G,R,G,W,R,C,U
3,,Lightning Bolt,Path to Exile,Demonic Tutor,Icetill Explorer,Bloodstained Mire,"Adeline, Resplendent Cathar",Quantum Riddler,Scalding Tarn,Currency Converter,Snapcaster Mage,,,↩,,,,Players:,10,,,R,W,B,G,C,Legendary Creature — Human Knight,U,C,C,U
4,↪,Mishra's Bauble,Dismember,"Sheoldred, the Apocalypse",Lotus Cobra,Scalding Tarn 2,Cosmogrand Zenith,Ephemerate,Arid Mesa,The Meathook Massacre,Stock Up,,,,,,,Picks per Player:,45,,,C,B,B,G,C,W,W,C,B,U
5,,Seasoned Pyromancer,Flooded Strand,Fatal Push,Wrenn and Six,Prismatic Vista,Windswept Heath,Flooded Strand 2,Cori-Steel Cutter,Dark Confidant,Polluted Delta,,,↩,,,,Total Picks:,450,,,R,C,B,RG,C,C,C,R,B,C
6,↪,Bloodstained Mire 2,Stoneforge Mystic,Marsh Flats,Wooded Foothills,Steam Vents 2,Windswept Heath 2,Arid Mesa 2,Steam Vents,Dauthi Voidwalker,Counterspell,,,,,,,Picks Made:,450,,,C,W,C,C,UR,C,C,UR,B,U
7,,Pyrokinesis,Misty Rainforest,Marsh Flats 2,Wooded Foothills 2,Polluted Delta 2,Giver of Runes,Hallowed Fountain,Misty Rainforest 2,"Cecil, Dark Knight",Verdant Catacombs,,,↩,,,,Picks Remaining:,0,,,R,C,C,C,C,W,WU,C,WB,C
8,↪,"Laelia, the Blade Reforged",Temple Garden,Reprieve,Verdant Catacombs 2,Memory Lapse,Oust,Mana Leak,Hallowed Fountain 2,Cut Down,Toxic Deluge,,,,,,,Making Double Picks:,TRUE,,,R,WG,W,C,U,W,U,WU,B,B
9,,Chain Lightning,Breeding Pool,Snuff Out,Stomping Ground,Flame Slash,Noble Hierarch,Prismatic Ending,Thundering Falls,Inquisition of Kozilek,Stern Scolding,,,↩,,,,Next Player if Single Pick:,10,,,R,UG,B,RG,R,WUG,W,UR,B,U
10,↪,"Inti, Seneschal of the Sun",Voice of Victory,Chthonian Nightmare,Malevolent Rumble,Persist,Esper Sentinel,Elegant Parlor,Meticulous Archive,Duress,Bloodchief's Thirst,,,,,,,Next Player if Double Pick,10,,,R,W,B,G,B,W,WR,WU,B,B
11,,Fear of Missing Out,Overlord of the Mistmoors,Deep-Cavern Bat,Six,"Jace, Vryn's Prodigy","Toby, Beastie Befriender","Teferi, Time Raveler","Cloud, Midgar Mercenary",Infernal Grasp,Miscalculation,,,↩,,,,Round Number:,45,,,R,W,B,G,U,W,WU,W,B,U
12,↪,Mutavault,"Spider-Woman, Stunning Savior",Staff of the Storyteller,Primal Might,Sheoldred's Edict,Wedding Announcement,Skyclave Apparition,Assimilation Aegis,Sorin of House Markov,Go for the Throat,,,,,,,Next Player:,FALSE,,,C,WU,W,G,B,W,W,WU,WB,B
13,,Dragon's Rage Channeler,The Wandering Emperor,Caretaker's Talent,Exploration,Troll of Khazad-dûm,Brightglass Gearhulk,No More Lies,Legion Extruder,"Tourach, Dread Cantor",Bitter Triumph,,,↩,,,,Next Row:,45,,,R,W,W,G,B,WG,WU,R,B,B
14,↪,Generous Plunderer,Esika's Chariot,Sanguine Evangelist,Birds of Paradise,Faithless Looting,Enduring Innocence,Flickerwisp,Abrade,Knight of the Ebon Legion,Lórien Revealed,,,,,,,Next Player Name:,FALSE,,,R,G,W,G,R,W,W,R,B,U
15,,Figure of Destiny,Thraben Inspector,Bitterblossom,Utopia Sprawl,Remand,Llanowar Elves,Three Steps Ahead,Mox Opal,Marionette Apprentice,"Wan Shi Tong, Librarian",,,↩,,,,Draft Active:,FALSE,,,WR,W,B,G,U,G,U,C,B,U
16,↪,Goblin Bombardment,Blade Splicer,Priest of Forgotten Gods,Ignoble Hierarch,Crabomination,Elvish Mystic,Unholy Heat,"Ivora, Insatiable Heir",Collective Brutality,Damnation,,,,,,,,,,,R,Creature — Phyrexian Human Artificer,B,BRG,B,G,R,R,B,B
17,,Hired Claw,Mana Tithe,Scavenger's Talent,Overlord of the Hauntwoods,Torrential Gearhulk,Fanatic of Rhonas,Force Spike,Glimmer Lens,Blood Crypt 2,Treasure Cruise,,,↩,,,,,,,,R,W,B,G,U,G,U,W,BR,U
18,↪,Gingerbrute,Temple Garden 2,Damn,Lumbering Worldwagon,Watery Grave 2,Usher of the Fallen,"Teferi, Hero of Dominaria",Soul-Guide Lantern,Blood Crypt,Watery Grave,,,,,,,,,,,C,WG,WB,G,UB,W,WU,C,BR,UB
19,,Burst Lightning,Lion Sash,Retrofitter Foundry,Green Sun's Zenith,Brainstorm,"Boseiju, Who Endures",Witch Enchanter,Cryptic Coat,Pyrite Spellbomb,Spell Pierce,,,↩,,,,,,,,R,W,C,G,U,G,W,U,R,U
20,↪,Embercleave,"Thalia, Guardian of Thraben","Sephiroth, Fabled SOLDIER",Inscription of Abundance,Deathrite Shaman,"Rofellos, Llanowar Emissary",Fire Magic,Aether Spellbomb,"Valki, God of Lies",Murderous Cut,,,,,,,,,,,R,W,B,G,BG,G,R,U,BR,B
21,,Screaming Nemesis,Restoration Angel,"Yawgmoth, Thran Physician","Grist, the Hunger Tide",Liliana of the Veil,"Suki, Courageous Rescuer",Prismari Command,Portable Hole,Fell,Unable to Scream,,,↩,,,,,,,,R,W,B,BG,B,W,UR,W,B,U
22,↪,"Lutri, the Spellchaser",Containment Priest,Spectacular Spider-Man,Voracious Hydra,Bonecrusher Giant,Lush Portico,Thraben Charm,Novice Inspector,Unearth,Agatha's Soul Cauldron,,,,,,,,,,,UR,W,W,G,R,WG,W,W,B,C
23,,Voldaren Epicure,Pest Infestation,Raven Eagle,"Nissa, Who Shakes the World",Brazen Borrower,Virtue of Loyalty,Phantasmal Image,Splitskin Doll,Raucous Theater,"Narset, Parter of Veils",,,↩,,,,,,,,R,G,B,G,U,W,U,W,BR,U
