,,Rotisserie Draft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Drew,Patrick,whalematron,Aspi,Greg Sobetski,Keith,Elfandor,Neo,LastAbzan,Lame4Fame,,,,,,,,,,,,,,,,,,,,,
1,→,Swords to Plowshares,"Phelia, Exuberant Shepherd",Fable of the Mirror-Breaker,Pyrogoyf,"Sheoldred, the Apocalypse",Badgermole Cub,Strip Mine,Quantum Riddler,Birds of Paradise,Mystic Confluence,,,↩,↩, ,,,Draft Status,,,,W,W,R,R,B,G,C,U,G,U
2,↪,Mother of Runes,Solitude,Pyrokinesis,"Ragavan, Nimble Pilferer",Thoughtseize,Llanowar Elves,Fury,"Wan Shi Tong, All-Knowing",Noble Hierarch,Stock Up,,,,,,,,Double Picks After:,25,,,W,W,R,R,B,G,R,U,WUG,U
3,,Reprieve,Ancient Tomb,Smuggler's Copter,Inquisition of Kozilek,Fatal Push,Ignoble Hierarch,Lightning Bolt,Subtlety,"Uro, Titan of Nature's Wrath",Memory Lapse,,,↩,↩,,,,Players:,10,,,W,C,C,B,B,BRG,R,U,UG,U
4,↪,Giver of Runes,Stoneforge Mystic,Currency Converter,"Inti, Seneschal of the Sun",Deep-Cavern Bat,Elvish Mystic,Hired Claw,Stern Scolding,Mana Leak,Remand,,,,,,,,Picks per Player:,40,,,W,W,C,R,B,G,R,U,U,U
5,,Luminarch Aspirant,Chrome Mox,"Ivora, Insatiable Heir",Snuff Out,"Yawgmoth, Thran Physician",Fanatic of Rhonas,Chain Lightning,Counterspell,Sylvan Safekeeper,Oust,,,↩,↩,,,,Total Picks:,400,,,W,C,R,B,B,G,R,U,G,W
6,↪,"Malcolm, Alluring Scoundrel",Overlord of the Mistmoors,Flame Slash,Fear of Missing Out,Cut Down,"Rofellos, Llanowar Emissary","Laelia, the Blade Reforged",Miscalculation,Green Sun's Zenith,Lórien Revealed,,,,,,,,Picks Made:,400,,,U,W,R,R,B,G,R,U,G,U
7,,Flooded Strand,Cori-Steel Cutter,Carnage Interpreter,Dragon's Rage Channeler,Chthonian Nightmare,"Nissa, Who Shakes the World",Voice of Victory,Dismember,Fire Magic,Flooded Strand 2,,,↩,↩,,,,Picks Remaining:,0,,,C,R,BR,R,B,G,W,B,R,C
8,↪,Hallowed Fountain,Thraben Inspector,Brainstorm,Mishra's Bauble,"Sephiroth, Fabled SOLDIER","Nissa, Ascended Animist",Staff of the Storyteller,Snapcaster Mage,Misty Rainforest,No More Lies,,,,,,,,Making Double Picks:,TRUE,,,WU,W,U,C,B,G,W,U,C,WU
9,,Meticulous Archive,Ephemerate,Scalding Tarn,Bloodstained Mire 2,Demonic Tutor,"Bristly Bill, Spine Sower",Sacred Foundry,Polluted Delta,Wooded Foothills,Hallowed Fountain 2,,,↩,↩,,,,Next Player if Single Pick:,1,,,WU,W,C,C,B,G,WR,C,C,WU
10,↪,Mockingbird,Path to Exile,Scalding Tarn 2,Bloodstained Mire,Duress,Scythecat Cub,Novice Inspector,Polluted Delta 2,Springheart Nantuko,"Teferi, Time Raveler",,,,,,,,Next Player if Double Pick,6,,,U,W,C,C,B,G,W,C,G,WU
11,,Esper Sentinel,Sacred Foundry 2,Agatha's Soul Cauldron,Overlord of the Balemurk,The Meathook Massacre,Pest Infestation,Arid Mesa,Bone Shards,Verdant Catacombs,"Urza, Lord High Artificer",,,↩,↩,,,,Round Number:,40,,,W,WR,C,B,B,G,C,B,C,U
12,↪,Arid Mesa 2,The Wandering Emperor,Norman Osborn,Crabomination,Marionette Apprentice,Lumbering Worldwagon,Elegant Parlor,Necromancy,Misty Rainforest 2,Retrofitter Foundry,,,,,,,,Next Player:,FALSE,,,C,W,UBR,B,B,G,WR,B,C,C
13,,"Thalia, Guardian of Thraben",Windswept Heath 2,"Spider-Woman, Stunning Savior",Persist,Ophiomancer,Esika's Chariot,Marsh Flats,Troll of Khazad-dûm,Windswept Heath,Steam Vents,,,↩,↩,,,,Next Row:,39,,,W,C,WU,B,B,G,C,B,C,UR
14,↪,"Kytheon, Hero of Akros",Marsh Flats 2,Steam Vents 2,Seasoned Pyromancer,Dissection Tools,Palantír of Orthanc,Showdown of the Skalds,Toxic Deluge,Deathrite Shaman,Prismatic Vista,,,,,,,,Next Player Name:,FALSE,,,W,C,UR,R,C,C,WR,B,BG,C
15,,Spyglass Siren,"Toby, Beastie Befriender","Lutri, the Spellchaser",Murderous Cut,Caustic Bronco,The Endstone,Sanguine Evangelist,Force Spike,Thundering Falls,Unholy Heat,,,↩,↩,,,,Draft Active:,FALSE,,,U,W,UR,B,B,C,W,U,UR,R
16,↪,Faerie Mastermind,Mana Tithe,Detective's Phoenix,Dauthi Voidwalker,Go for the Throat,Verdant Catacombs 2,"Adeline, Resplendent Cathar",Brazen Borrower,Wooded Foothills 2,"Jace, Vryn's Prodigy",,,,,,,,,,,,U,W,R,B,B,C,W,U,C,U
17,,Elite Spellbinder,Glimmer Lens,Oliphaunt,Grave Titan,Archfiend of the Dross,"Polukranos, Unchained",Spectacular Spider-Man,Cryptic Command,Lotus Cobra,Celestial Colonnade,,,↩,↩,,,,,,,,W,W,R,B,B,BG,W,U,G,WU
18,↪,Seachrome Coast,Flickerwisp,Tersa Lightshatter,Arena of Glory,Preacher of the Schism,Utopia Sprawl,Screaming Nemesis,Bloodchief's Thirst,Icetill Explorer,Soul-Guide Lantern,,,,,,,,,,,,WU,W,R,R,B,G,R,B,G,C
19,,Enduring Innocence,Skyclave Apparition,Spirebluff Canal,Life // Death,Dark Ritual,Overgrown Tomb,Robber of the Rich,Fallen Shinobi,Treasure Cruise,Inspiring Vantage,,,↩,↩,,,,,,,,W,W,UR,BG,B,BG,R,UB,U,WR
20,↪,Unexpectedly Absent,Figure of Destiny,Torch the Tower,Grief,Nethergoyf,Malevolent Rumble,Sungold Sentinel,Ledger Shredder,Six,Portable Hole,,,,,,,,,,,,W,WR,R,B,B,,,U,G,W
21,,Assimilation Aegis,Chainsaw,Grim Lavamancer,Spymaster's Vault,Dark Confidant,Sylvan Caryatid,Embercleave,"Wan Shi Tong, Librarian",Spell Pierce,"Aang, Swift Savior",,,↩,↩,,,,,,,,WU,R,R,B,B,G,W,U,U,WU
22,↪,Preordain,"Cloud, Midgar Mercenary",Duelist of the Mind,Bitter Triumph,Quag Feast,Esper Origins,Kumano Faces Kakkazan,Hard Evidence,Tireless Tracker,Mox Opal,,,,,,,,,,,,U,W,U,B,B,G,R,U,G,C
23,,Cryptic Coat,Gingerbrute,Fading Hope,Concealing Curtains,Sinkhole Surveyor,Generous Ent,Generous Plunderer,Three Steps Ahead,"Titania, Protector of Argoth",Third Path Iconoclast,,,↩,↩,,,,,,,,U,C,U,B,B,G,R,U,G,UR
