✓,Card,Type,Color,View,Picked By,
✓,Descendant of Storms,Creature — Human Soldier,W,View,Elfandor,$I$30
✓,Esper Sentinel,Artifact Creature — Human Soldier,W,View,Drew,$C$14
✓,Giver of Runes,Creature — Kor Cleric,W,View,Drew,$C$7
✓,"Kytheon, Hero of Akros",Legendary Creature — Human Soldier,W,View,Drew,$C$17
✓,Mother of Runes,Creature — Human Cleric,W,View,Drew,$C$5
✓,Novice Inspector,Creature — Human Detective,W,View,Elfandor,$I$13
✓,Thraben Inspector,Creature — Human Soldier,W,View,Patrick,$D$11
✓,Usher of the Fallen,Creature — Spirit Warrior,W,View,Drew,$C$30
✓,Cathar Commando,Creature — Human Soldier,W,View,Drew,$C$35
✓,Clarion Spirit,Creature — Spirit,W,View,Patrick,$D$41
✓,"Cloud, Midgar Mercenary",Legendary Creature — Human Soldier Mercenary,W,View,Patrick,$D$25
✓,Containment Priest,Creature — Human Cleric,W,View,Patrick,$D$36
✓,Intrepid Adversary,Creature — Human Scout,W,View,Patrick,$D$29
✓,Lion Sash,Artifact Creature — Equipment Cat,W,View,Patrick,$D$28
✓,Luminarch Aspirant,Creature — Human Cleric,W,View,Drew,$C$8
✓,"Phelia, Exuberant Shepherd",Legendary Creature — Dog,W,View,Patrick,$D$4
✓,Spectacular Spider-Man,Legendary Creature — Spider Human Hero,W,View,Elfandor,$I$20
✓,Splitskin Doll,Artifact Creature — Toy,W,View,Patrick,$D$40
✓,Stoneforge Mystic,Creature — Kor Artificer,W,View,Patrick,$D$7
✓,Sungold Sentinel,Creature — Human Soldier,W,View,Elfandor,$I$23
✓,"Thalia, Guardian of Thraben",Legendary Creature — Human Soldier,W,View,Drew,$C$16
✓,Voice of Victory,Creature — Human Bard,W,View,Elfandor,$I$10
✓,"Adeline, Resplendent Cathar",Legendary Creature — Human Knight,W,View,Elfandor,$I$19
✓,Blade Splicer,Creature — Phyrexian Human Artificer,W,View,Patrick,$D$35
✓,Cosmogrand Zenith,Creature — Human Soldier,W,View,Elfandor,$I$39
✓,Elite Spellbinder,Creature — Human Cleric,W,View,Drew,$C$20
✓,Enduring Innocence,Enchantment Creature — Sheep Glimmer,W,View,Drew,$C$22
✓,Flickerwisp,Creature — Elemental,W,View,Patrick,$D$21
✓,Loran of the Third Path,Legendary Creature — Human Artificer,W,View,Elfandor,$I$35
,Monastery Mentor,Creature — Human Monk,W,View,,
✓,Ranger-Captain of Eos,Creature — Human Soldier Ranger,W,View,Drew,$C$28
✓,Sanguine Evangelist,Creature — Vampire Cleric,W,View,Elfandor,$I$18
✓,Skyclave Apparition,Creature — Kor Spirit,W,View,Patrick,$D$22
✓,"Suki, Courageous Rescuer",Legendary Creature — Human Warrior Ally,W,View,Drew,$C$31
✓,"Toby, Beastie Befriender",Legendary Creature — Human Wizard,W,View,Patrick,$D$18
,Ranger of Eos,Creature — Human Soldier Ranger,W,View,,
✓,Restoration Angel,Creature — Angel,W,View,Patrick,$D$38
✓,Serra Paragon,Creature — Angel,W,View,Elfandor,$I$43
✓,Witch Enchanter,Creature — Human Warlock,W,View,Elfandor,$I$31
✓,Solitude,Creature — Elemental Incarnation,W,View,Patrick,$D$5
,Timeless Dragon,Creature — Dragon,W,View,,
✓,Eagles of the North,Creature — Bird Soldier,W,View,Patrick,$D$43
✓,Overlord of the Mistmoors,Enchantment Creature — Avatar Horror,W,View,Patrick,$D$9
✓,Condemn,Instant,W,View,Elfandor,$I$37
✓,Ephemerate,Instant,W,View,Patrick,$D$12
✓,Mana Tithe,Instant,W,View,Patrick,$D$19
✓,Path to Exile,Instant,W,View,Patrick,$D$13
✓,Swords to Plowshares,Instant,W,View,Drew,$C$4
✓,Reprieve,Instant,W,View,Drew,$C$6
✓,Thraben Charm,Instant,W,View,Drew,$C$27
✓,Unexpectedly Absent,Instant,W,View,Drew,$C$23
✓,Oust,Sorcery,W,View,Lame4Fame,$L$8
✓,Prismatic Ending,Sorcery,W,View,LastAbzan,$K$27
✓,Winds of Abandon,Sorcery,W,View,Patrick,$D$33
,Sevinne's Reclamation,Sorcery,W,View,,
,Battle Screech,Sorcery,W,View,,
✓,Day of Judgment,Sorcery,W,View,Patrick,$D$37
✓,Sunfall,Sorcery,W,View,Lame4Fame,$L$38
✓,Portable Hole,Artifact,W,View,Lame4Fame,$L$23
,Collector's Cage,Artifact,W,View,,
✓,Glimmer Lens,Artifact — Equipment,W,View,Patrick,$D$20
✓,Staff of the Storyteller,Artifact,W,View,Elfandor,$I$11
✓,Maul of the Skyclaves,Artifact — Equipment,W,View,Patrick,$D$42
✓,Unidentified Hovership,Artifact — Vehicle,W,View,Patrick,$D$34
✓,Legion's Landing,Legendary Enchantment,W,View,Drew,$C$41
,Michiko's Reign of Truth,Enchantment — Saga,W,View,,
✓,Sheltered by Ghosts,Enchantment — Aura,W,View,Patrick,$D$30
✓,Aang's Iceberg,Enchantment,W,View,Elfandor,$I$38
,Caretaker's Talent,Enchantment — Class,W,View,,
✓,Wedding Announcement,Enchantment,W,View,Drew,$C$33
✓,Virtue of Loyalty,Enchantment,W,View,Drew,$C$32
✓,"Gideon, Ally of Zendikar",Legendary Planeswalker — Gideon,W,View,Drew,$C$40
✓,The Wandering Emperor,Legendary Planeswalker,W,View,Patrick,$D$15
✓,Abandoned Air Temple,Land,W,View,Patrick,$D$27
✓,Mockingbird,Creature — Bird Bard,U,View,Drew,$C$13
✓,Phantasmal Shieldback,Creature — Turtle Illusion,U,View,Lame4Fame,$L$42
✓,Spyglass Siren,Creature — Siren Pirate,U,View,Drew,$C$18
✓,Duelist of the Mind,Creature — Human Advisor,U,View,whalematron,$E$25
