,,Rotisserie Draft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Patrick,jakebrowne,w1dcrd,Aspi,flutterdev,MossViper,Skorish,whalematron,rocketman7,Coopergfrye,,,#NUM!,,,,,,,,,,,,,,,,,,
1,→,Swords to Plowshares,"Phelia, Exuberant Shepherd",Pyrogoyf,Fable of the Mirror-Breaker,"Ragavan, Nimble Pilferer",Thoughtseize,"Urza, Lord High Artificer",Badgermole Cub,Ancient Tomb,Solitude,,,,↩, ,,,Draft Status,,,,W,W,R,R,R,B,U,G,C,W
2,↪,"Sheoldred, the Apocalypse",Lurrus of the Dream-Den,Lightning Bolt,Cori-Steel Cutter,Fury,Demonic Tutor,Chrome Mox,Dismember,Strip Mine,Quantum Riddler,,,,,,,,Double Picks After:,25,,,B,WB,R,R,R,B,C,B,C,U
3,,Crabomination,"Wan Shi Tong, Librarian",Fear of Missing Out,Brainstorm,Smuggler's Copter,"Sephiroth, Fabled SOLDIER",Currency Converter,Springheart Nantuko,Icetill Explorer,Stoneforge Mystic,,,,↩,,,,Players:,10,,,B,U,R,U,C,B,C,G,G,W
4,↪,Fatal Push,Path to Exile,Chain Lightning,Scalding Tarn,"Inti, Seneschal of the Sun","Yawgmoth, Thran Physician",Subtlety,Memory Lapse,Scythecat Cub,Voice of Victory,,,,,,,,Picks per Player:,45,,,B,W,R,C,R,B,U,U,G,W
5,,Dauthi Voidwalker,Mystic Confluence,Burst Lightning,Pyrokinesis,Flame Slash,Snuff Out,Stock Up,"Uro, Titan of Nature's Wrath","Bristly Bill, Spine Sower",Oust,,,,↩,,,,Total Picks:,450,,,B,U,R,R,R,B,U,UG,G,W
6,↪,Overlord of the Balemurk,Remand,Dragon's Rage Channeler,Unholy Heat,Screaming Nemesis,Toxic Deluge,Counterspell,Lórien Revealed,Malevolent Rumble,Ledger Shredder,,,,,,,,Picks Made:,450,,,B,U,R,R,R,B,U,U,G,U
7,,Dark Ritual,Mana Leak,Fireblast,Mishra's Bauble,"Ivora, Insatiable Heir",Necromancy,Scalding Tarn 2,Misty Rainforest,Birds of Paradise,Prismatic Ending,,,,↩,,,,Picks Remaining:,0,,,B,U,R,C,R,B,C,C,G,W
8,↪,Marsh Flats,Condemn,Palantír of Orthanc,Dreadhorde Arcanist,Detective's Phoenix,Chthonian Nightmare,"Lutri, the Spellchaser",Noble Hierarch,Six,Flooded Strand 2,,,,,,,,Making Double Picks:,TRUE,,,C,W,C,R,R,B,UR,WUG,G,C
9,,Polluted Delta,Flooded Strand,Bonecrusher Giant,Polluted Delta 2,Mother of Runes,Bloodstained Mire,Aether Spellbomb,Misty Rainforest 2,Wooded Foothills,Giver of Runes,,,,↩,,,,Next Player if Single Pick:,10,,,C,C,R,C,W,C,U,C,C,W
10,↪,Verdant Catacombs,Hallowed Fountain,Scrapwork Mutt,Snapcaster Mage,Arid Mesa,Bloodstained Mire 2,Vivi Ornitier,Wooded Foothills 2,"Titania, Protector of Argoth",Marsh Flats 2,,,,,,,,Next Player if Double Pick,10,,,C,WU,R,U,C,C,UR,C,G,C
11,,Godless Shrine,Hallowed Fountain 2,Gingerbrute,Steam Vents,Arid Mesa 2,Verdant Catacombs 2,Steam Vents 2,Windswept Heath 2,Windswept Heath,Prismatic Vista,,,,↩,,,,Round Number:,45,,,WB,WU,C,UR,C,C,UR,C,C,C
12,↪,Watery Grave,Deep-Cavern Bat,Mutavault,Ponder,Mine Collapse,Inquisition of Kozilek,Mox Opal,Staff of the Storyteller,Ignoble Hierarch,Meticulous Archive,,,,,,,,Next Player:,FALSE,,,UB,B,C,U,R,B,C,W,BRG,WU
13,,Baleful Strix,Watery Grave 2,Hired Claw,Astrologian's Planisphere,Oliphaunt,Deathrite Shaman,Expressive Iteration,Esika's Chariot,Green Sun's Zenith,"Teferi, Time Raveler",,,,↩,,,,Next Row:,45,,,UB,UB,R,U,R,BG,UR,G,G,WU
14,↪,Darkslick Shores,Undercity Sewers,Arena of Glory,Third Path Iconoclast,Robber of the Rich,Troll of Khazad-dûm,Spell Pierce,"Wan Shi Tong, All-Knowing",Lotus Cobra,"Aang, Swift Savior",,,,,,,,Next Player Name:,FALSE,,,UB,UB,R,UR,R,B,U,U,G,WU
15,,Fallen Shinobi,Reprieve,Emberheart Challenger,Flame of Anor,"Spider-Woman, Stunning Savior",Bitter Triumph,Preordain,Fanatic of Rhonas,Sentinel of the Nameless City,Celestial Colonnade,,,,↩,,,,Draft Active:,FALSE,,,UB,W,R,UR,WU,B,U,G,G,WU
16,↪,Unearth,Shadowy Backstreet,Overlord of the Boilerbilges,Spirebluff Canal,Portable Hole,Esper Origins,Retrofitter Foundry,Unable to Scream,Tireless Tracker,Seachrome Coast,,,,,,,,,,,,B,WB,R,UR,W,G,C,U,G,WU
17,,Carnage Interpreter,Bloodchief's Thirst,Kumano Faces Kakkazan,Torch the Tower,The Wandering Emperor,Eternal Witness,Chrome Host Seedshark,"Grist, the Hunger Tide",Overgrown Tomb,Pest Infestation,,,,↩,,,,,,,,BR,B,R,R,W,G,U,BG,BG,G
18,↪,Abhorrent Oculus,Soul-Guide Lantern,Searslicer Goblin,Treasure Cruise,"Laelia, the Blade Reforged",Underground Mortuary,"Jace, the Mind Sculptor",Overgrown Tomb 2,Go for the Throat,Sevinne's Reclamation,,,,,,,,,,,,U,C,R,U,R,BG,U,BG,B,W
19,,Quag Feast,Spectacular Spider-Man,"Kari Zev, Skyship Raider",Tersa Lightshatter,Agatha's Soul Cauldron,Stomping Ground,Abrade,Breeding Pool,Sylvan Safekeeper,Abandoned Air Temple,,,,↩,,,,,,,,B,W,R,R,C,RG,R,UG,G,W
20,↪,Duress,Concealed Courtyard,Heartfire Hero,Stormchaser's Talent,Iroh's Demonstration,Ophiomancer,"Saheeli, Sublime Artificer",Hedge Maze,Endurance,"Otawara, Soaring City",,,,,,,,,,,,B,WB,R,U,R,,,UG,G,U
21,,Creeping Tar Pit,Sheoldred's Edict,Monstrous Rage,Grim Lavamancer,Sacred Foundry,Birthing Ritual,Pyrite Spellbomb,Blooming Marsh,"Nissa, Who Shakes the World",Mockingbird,,,,↩,,,,,,,,UB,B,R,R,WR,B,UR,BG,G,U
22,↪,Life // Death,Damn,Goblin Rabblemaster,Consider,Luminarch Aspirant,Dark Confidant,Thundering Falls,Floodpits Drowner,Vaultborn Tyrant,Phantasmal Shieldback,,,,,,,,,,,,BG,WB,R,U,W,B,UR,U,G,U
23,,Bone Shards,Miscalculation,Goblin Bombardment,Thought Scour,Eagles of the North,Restless Cottage,"Karn, Scion of Urza",Brazen Borrower,Temple Garden,Temple Garden 2,,,,↩,,,,,,,,B,U,R,U,W,BG,C,U,WG,WG
