✓,Card,Type,Color,View,Picked By,
,Descendant of Storms,Creature — Human Soldier,W,View,,
✓,Esper Sentinel,Artifact Creature — Human Soldier,W,View,flutterdev,$G$38
✓,Giver of Runes,Creature — Kor Cleric,W,View,Coopergfrye,$L$12
,"Kytheon, Hero of Akros",Legendary Creature — Human Soldier,W,View,,
✓,Mother of Runes,Creature — Human Cleric,W,View,flutterdev,$G$12
✓,Novice Inspector,Creature — Human Detective,W,View,Coopergfrye,$L$29
✓,Thraben Inspector,Creature — Human Soldier,W,View,Coopergfrye,$L$28
,Usher of the Fallen,Creature — Spirit Warrior,W,View,,
✓,Cathar Commando,Creature — Human Soldier,W,View,jakebrowne,$D$32
,Clarion Spirit,Creature — Spirit,W,View,,
✓,"Cloud, Midgar Mercenary",Legendary Creature — Human Soldier Mercenary,W,View,Aspi,$F$45
✓,Containment Priest,Creature — Human Cleric,W,View,jakebrowne,$D$37
✓,Intrepid Adversary,Creature — Human Scout,W,View,jakebrowne,$D$48
✓,Lion Sash,Artifact Creature — Equipment Cat,W,View,jakebrowne,$D$38
✓,Luminarch Aspirant,Creature — Human Cleric,W,View,flutterdev,$G$25
✓,"Phelia, Exuberant Shepherd",Legendary Creature — Dog,W,View,jakebrowne,$D$4
✓,Spectacular Spider-Man,Legendary Creature — Spider Human Hero,W,View,jakebrowne,$D$22
✓,Splitskin Doll,Artifact Creature — Toy,W,View,flutterdev,$G$46
✓,Stoneforge Mystic,Creature — Kor Artificer,W,View,Coopergfrye,$L$6
✓,Sungold Sentinel,Creature — Human Soldier,W,View,jakebrowne,$D$46
✓,"Thalia, Guardian of Thraben",Legendary Creature — Human Soldier,W,View,jakebrowne,$D$39
✓,Voice of Victory,Creature — Human Bard,W,View,Coopergfrye,$L$7
✓,"Adeline, Resplendent Cathar",Legendary Creature — Human Knight,W,View,Aspi,$F$47
✓,Blade Splicer,Creature — Phyrexian Human Artificer,W,View,flutterdev,$G$47
✓,Cosmogrand Zenith,Creature — Human Soldier,W,View,flutterdev,$G$43
✓,Elite Spellbinder,Creature — Human Cleric,W,View,flutterdev,$G$48
