No,,Rotisserie Draft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Jack Heart,Max,baronvonfonz,Oophies,Greg,Bludac,Neo,Last Abzan,Jack,Lame4Fame,,,#NUM!,,,,,,,,,,,,,,,,,,
1,→,Pyrogoyf,Reanimate,Swords to Plowshares,Fable of the Mirror-Breaker,Mystic Confluence,"Phelia, Exuberant Shepherd",Ignoble Hierarch,"Ragavan, Nimble Pilferer","Urza, Lord High Artificer",Quantum Riddler,,,,↩, ,,,Draft Status,,,,R,B,W,R,U,W,BRG,R,U,U
2,↪,Lightning Bolt,Thoughtseize,Demonic Tutor,Fury,Icetill Explorer,Solitude,Noble Hierarch,"Sheoldred, the Apocalypse",Stock Up,"Wan Shi Tong, All-Knowing",,,,,,,,Double Picks After:,25,,,R,B,B,R,G,W,WUG,B,U,U
3,,"Inti, Seneschal of the Sun",Grief,Deathrite Shaman,Cori-Steel Cutter,Strip Mine,Mother of Runes,Birds of Paradise,Carnage Interpreter,Subtlety,Stern Scolding,,,,↩,,,,Players:,10,,,R,B,BG,R,C,W,G,BR,U,U
4,↪,Fear of Missing Out,Necromancy,Fatal Push,"Laelia, the Blade Reforged",Utopia Sprawl,Ephemerate,Delighted Halfling,Inquisition of Kozilek,Dismember,Memory Lapse,,,,,,,,Picks per Player:,45,,,R,B,B,R,G,W,G,B,B,U
5,,Smuggler's Copter,Snuff Out,Damnation,Remand,"Titania, Protector of Argoth",Giver of Runes,Stoneforge Mystic,Cut Down,Mana Leak,Chrome Mox,,,,↩,,,,Total Picks:,450,,,C,B,B,U,G,W,W,B,U,C
6,↪,Scythecat Cub,"Yawgmoth, Thran Physician",Voice of Victory,Seasoned Pyromancer,Badgermole Cub,"Thalia, Guardian of Thraben",Sylvan Safekeeper,Detective's Phoenix,Reprieve,Ancient Tomb,,,,,,,,Picks Made:,450,,,G,B,W,R,G,W,G,R,W,C
7,,"Bristly Bill, Spine Sower",Unearth,Oust,Miscalculation,Misty Rainforest,Sheltered by Ghosts,Misty Rainforest 2,Arena of Glory,Lórien Revealed,Dark Ritual,,,,↩,,,,Picks Remaining:,0,,,G,B,W,U,C,W,C,R,U,B
8,↪,Verdant Catacombs,"Grist, the Hunger Tide",Windswept Heath,Scalding Tarn,Wooded Foothills 2,"Spider-Woman, Stunning Savior",Wooded Foothills,Goblin Bombardment,Flooded Strand 2,Deep-Cavern Bat,,,,,,,,Making Double Picks:,TRUE,,,C,BG,C,C,C,WU,C,R,C,B
9,,Scalding Tarn 2,"Sephiroth, Fabled SOLDIER",Eternal Witness,Brainstorm,Verdant Catacombs 2,Overlord of the Mistmoors,Windswept Heath 2,Embercleave,Counterspell,Duress,,,,↩,,,,Next Player if Single Pick:,10,,,C,B,G,U,C,W,C,R,U,B
10,↪,Bloodstained Mire 2,Bloodstained Mire,Overgrown Tomb,Chain Lightning,Wrenn and Six,Lurrus of the Dream-Den,Dissection Tools,"Kari Zev, Skyship Raider",Path to Exile,"Malcolm, Alluring Scoundrel",,,,,,,,Next Player if Double Pick,10,,,C,C,BG,R,RG,WB,C,R,W,U
11,,Malevolent Rumble,Overgrown Tomb 2,Temple Garden,Arid Mesa,Flooded Strand,Witch Enchanter,Llanowar Elves,Arid Mesa 2,"Teferi, Time Raveler",Polluted Delta,,,,↩,,,,Round Number:,45,,,G,BG,WG,C,C,W,G,C,WU,C
12,↪,Stomping Ground,Marsh Flats,Toxic Deluge,Galvanic Discharge,Springheart Nantuko,Blade Splicer,Sentinel of the Nameless City,Troll of Khazad-dûm,Currency Converter,Polluted Delta 2,,,,,,,,Next Player:,FALSE,,,RG,C,B,R,G,W,G,B,C,C
13,,Fanatic of Rhonas,Phyrexian Tower,Thragtusk,Dragon's Rage Channeler,Stomping Ground 2,Glimmer Lens,Lumbering Worldwagon,Marsh Flats 2,Snapcaster Mage,Watery Grave,,,,↩,,,,Next Row:,45,,,G,B,G,R,RG,W,G,C,U,UB
14,↪,Heartfire Hero,Bone Shards,Prismatic Vista,Flame Slash,Breeding Pool,"Cloud, Midgar Mercenary",Hunter's Talent,Screaming Nemesis,Hallowed Fountain 2,Brazen Borrower,,,,,,,,Next Player Name:,FALSE,,,R,B,C,R,UG,W,G,R,WU,U
15,,Earthbender Ascension,Marionette Apprentice,The Wandering Emperor,Spell Pierce,Lotus Cobra,Containment Priest,Assimilation Aegis,Mine Collapse,Mox Opal,Dauthi Voidwalker,,,,↩,,,,Draft Active:,FALSE,,,G,B,W,U,G,W,WU,R,C,B
16,↪,Unholy Heat,Bloodghast,Underground Mortuary,Oliphaunt,"Sandman, Shifting Scoundrel",Lion Sash,Breeding Pool 2,Forsaken Miner,Retrofitter Foundry,Crabomination,,,,,,,,,,,,R,B,BG,R,G,W,UG,B,C,B
17,,Hired Claw,Mayhem Devil,Lush Portico,Steam Vents,Repulsive Mutation,Skyclave Apparition,Hedge Maze,Burst Lightning,"Wan Shi Tong, Librarian",Unable to Scream,,,,↩,,,,,,,,R,BR,WG,UR,UG,W,UG,R,U,U
18,↪,Esper Origins,Blood Crypt,Raven Eagle,"Lutri, the Spellchaser",Steam Vents 2,Flickerwisp,"Uro, Titan of Nature's Wrath",Bitter Triumph,Aether Spellbomb,"Jace, Vryn's Prodigy",,,,,,,,,,,,G,BR,B,UR,UR,W,UG,B,U,U
19,,Monstrous Rage,Chthonian Nightmare,Damn,Ledger Shredder,"Loot, the Pathfinder",Esper Sentinel,Esika's Chariot,Blood Crypt 2,Mishra's Bauble,Ponder,,,,↩,,,,,,,,R,B,WB,U,URG,W,G,BR,C,U
20,↪,Mishra's Bauble 4,Life // Death,Tireless Tracker,Mishra's Bauble 3,Elvish Mystic,Sanguine Evangelist,Temple Garden 2,Kumano Faces Kakkazan,Mishra's Bauble 2,Preacher of the Schism,,,,,,,,,,,,C,BG,G,C,G,W,WG,R,C,B
21,,The Earth King,Overlord of the Balemurk,Reckoner Bankbuster,Proft's Eidetic Memory,Overlord of the Hauntwoods,Abandoned Air Temple,"Yorion, Sky Nomad",Spymaster's Vault,"Otawara, Soaring City",Watery Grave 2,,,,↩,,,,,,,,G,B,C,U,G,W,WU,B,U,UB
22,↪,Traveling Chocobo,The Meathook Massacre,Restless Cottage,Preordain,Six,Luminarch Aspirant,Sazh Katzroy,Dreadhorde Arcanist,Staff of the Storyteller,"Cecil, Dark Knight",,,,,,,,,,,,G,B,BG,U,G,W,G,R,W,WB
23,,Sazh's Chocobo,Stitcher's Supplier,Sunfall,Thundertrap Trainer,Sylvan Caryatid,Enduring Innocence,Phantasmal Image,Raucous Theater,Kappa Cannoneer,Murderous Cut,,,,↩,,,,,,,,G,B,W,U,G,W,U,BR,U,B
24,↪,Emberheart Challenger,"Jadar, Ghoulcaller of Nephalia",Tear Asunder,Fire Magic,Aftermath Analyst,Virtue of Loyalty,Birthing Ritual,Fiery Confluence,Portable Hole,Cryptic Coat,,,,,,,,,,,,R,B,BG,R,G,W,G,R,W,U
25,,"Ivora, Insatiable Heir",Warren Soultrader,Timeless Dragon,"Jace, the Mind Sculptor",Treasure Cruise,Mutavault,Questing Beast,Robber of the Rich,Mystic Sanctuary,Gix's Command,,,,↩,,,,,,,,R,B,W,U,U,C,G,R,U,B
26,↪,Tersa Lightshatter,Collective Brutality,Virtue of Persistence,The Legend of Roku,Undercity Sewers,Batterskull,Restless Vinestalk,Grim Lavamancer,Meticulous Archive,Mockingbird,,,,,,,,,,,,R,B,B,R,UB,C,UG,R,WU,U
27,,Raging Ravine,Bitterblossom,Vanishing Verse,Amped Raptor,"Korvold, Fae-Cursed King",Mana Tithe,Voracious Hydra,Shoot the Sheriff,"Saheeli, Sublime Artificer",Fallen Shinobi,,,,,,,,,,,,RG,B,WB,R,BRG,W,G,B,UR,UB
28,,Innkeeper's Talent,Nethergoyf,Godless Shrine,"Kitsa, Otterball Elite","Plagon, Lord of the Beach",Thraben Charm,"Aang, Swift Savior",Monastery Swiftspear,Mischievous Mystic,Go for the Throat,,,,↩,,,,,,,,G,B,WB,U,WU,W,WU,R,U,B
