✓,Card,Type,Color,View,Picked By,
✓,Descendant of Storms,Creature — Human Soldier,W,View,Bludac,$H$45
✓,Esper Sentinel,Artifact Creature — Human Soldier,W,View,Bludac,$H$22
✓,Giver of Runes,Creature — Kor Cleric,W,View,Bludac,$H$8
,"Kytheon, Hero of Akros",Legendary Creature — Human Soldier,W,View,,
✓,Mother of Runes,Creature — Human Cleric,W,View,Bludac,$H$6
✓,Novice Inspector,Creature — Human Detective,W,View,Bludac,$H$44
✓,Thraben Inspector,Creature — Human Soldier,W,View,Bludac,$H$43
,Usher of the Fallen,Creature — Spirit Warrior,W,View,,
✓,Cathar Commando,Creature — Human Soldier,W,View,Bludac,$H$38
,Clarion Spirit,Creature — Spirit,W,View,,
✓,"Cloud, Midgar Mercenary",Legendary Creature — Human Soldier Mercenary,W,View,Bludac,$H$17
✓,Containment Priest,Creature — Human Cleric,W,View,Bludac,$H$18
✓,Intrepid Adversary,Creature — Human Scout,W,View,Bludac,$H$33
✓,Lion Sash,Artifact Creature — Equipment Cat,W,View,Bludac,$H$19
✓,Luminarch Aspirant,Creature — Human Cleric,W,View,Bludac,$H$25
✓,"Phelia, Exuberant Shepherd",Legendary Creature — Dog,W,View,Bludac,$H$4
✓,Stoneforge Mystic,Creature — Kor Artificer,W,View,Neo,$I$8
✓,Sungold Sentinel,Creature — Human Soldier,W,View,Bludac,$H$36
✓,"Thalia, Guardian of Thraben",Legendary Creature — Human Soldier,W,View,Bludac,$H$9
✓,Voice of Victory,Creature — Human Bard,W,View,baronvonfonz,$E$9
✓,"Adeline, Resplendent Cathar",Legendary Creature — Human Knight,W,View,Bludac,$H$48
✓,Aven Interrupter,Creature — Bird Rogue,W,View,Bludac,$H$37
✓,Blade Splicer,Creature — Phyrexian Human Artificer,W,View,Bludac,$H$15
,Cosmogrand Zenith,Creature — Human Soldier,W,View,,
✓,Elite Spellbinder,Creature — Human Cleric,W,View,Bludac,$H$42
✓,Enduring Innocence,Enchantment Creature — Sheep Glimmer,W,View,Bludac,$H$26
✓,Flickerwisp,Creature — Elemental,W,View,Bludac,$H$21
,Loran of the Third Path,Legendary Creature — Human Artificer,W,View,,
✓,Monastery Mentor,Creature — Human Monk,W,View,Jack,$K$33
✓,Ranger-Captain of Eos,Creature — Human Soldier Ranger,W,View,Bludac,$H$34
,Sage of the Skies,Creature — Human Monk,W,View,,
✓,Sanguine Evangelist,Creature — Vampire Cleric,W,View,Bludac,$H$23
✓,Skyclave Apparition,Creature — Kor Spirit,W,View,Bludac,$H$20
,"Suki, Courageous Rescuer",Legendary Creature — Human Warrior Ally,W,View,,
✓,"Toby, Beastie Befriender",Legendary Creature — Human Wizard,W,View,Bludac,$H$40
,Ranger of Eos,Creature — Human Soldier Ranger,W,View,,
,Restoration Angel,Creature — Angel,W,View,,
✓,Serra Paragon,Creature — Angel,W,View,Bludac,$H$47
✓,Witch Enchanter,Creature — Human Warlock,W,View,Bludac,$H$14
✓,Solitude,Creature — Elemental Incarnation,W,View,Bludac,$H$5
✓,Timeless Dragon,Creature — Dragon,W,View,baronvonfonz,$E$28
,Eagles of the North,Creature — Bird Soldier,W,View,,
✓,Overlord of the Mistmoors,Enchantment Creature — Avatar Horror,W,View,Bludac,$H$12
✓,Condemn,Instant,W,View,baronvonfonz,$E$39
✓,Ephemerate,Instant,W,View,Bludac,$H$7
✓,Mana Tithe,Instant,W,View,Bludac,$H$30
✓,Path to Exile,Instant,W,View,Jack,$K$13
✓,Swords to Plowshares,Instant,W,View,baronvonfonz,$E$4
✓,Reprieve,Instant,W,View,Jack,$K$9
✓,Thraben Charm,Instant,W,View,Bludac,$H$31
,Unexpectedly Absent,Instant,W,View,,
✓,Oust,Sorcery,W,View,baronvonfonz,$E$10
✓,Prismatic Ending,Sorcery,W,View,baronvonfonz,$E$33
,Winds of Abandon,Sorcery,W,View,,
,Sevinne's Reclamation,Sorcery,W,View,,
