,,Rotisserie Draft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SL Veg Zombie,Adhavoc,dkriddles,aidybaby,Jack,Andrew 420,nicKnaack,giya76,arborist77,gogey,,,,,,,,,,,,,,,,,,,,
1,→,Swords to Plowshares,Fable of the Mirror-Breaker,Thoughtseize,"Ragavan, Nimble Pilferer","Uro, Titan of Nature's Wrath",Demonic Tutor,Ancient Tomb,"Phelia, Exuberant Shepherd",Badgermole Cub,"Urza, Lord High Artificer",,,↩, ,,,Draft Status,,,,W,R,B,R,UG,B,C,W,G,U
2,↪,Mother of Runes,Smuggler's Copter,Crabomination,Cori-Steel Cutter,Path to Exile,Currency Converter,Pyrogoyf,Solitude,Springheart Nantuko,Memory Lapse,,,,,,,Double Picks After:,25,,,W,C,B,R,W,C,R,W,G,U
3,,Dismember,Mishra's Bauble,Mana Leak,Lurrus of the Dream-Den,Scythecat Cub,Carnage Interpreter,Fury,Quantum Riddler,Windswept Heath,"Teferi, Time Raveler",,,↩,,,,Players:,10,,,B,C,U,WB,G,BR,R,U,C,WU
4,↪,Lightning Bolt,Scalding Tarn,Necromancy,The Meathook Massacre,Misty Rainforest,"Sheoldred, the Apocalypse",Birds of Paradise,Overlord of the Mistmoors,Windswept Heath 2,Brainstorm,,,,,,,Picks per Player:,45,,,R,C,B,B,C,B,G,W,C,U
5,,Dreadhorde Arcanist,Wooded Foothills,Snuff Out,Dauthi Voidwalker,Noble Hierarch,Toxic Deluge,Wooded Foothills 2,Flooded Strand,Ignoble Hierarch,Lórien Revealed,,,↩,,,,Total Picks:,450,,,R,C,B,B,WUG,B,C,C,BRG,U
6,↪,Reprieve,Fear of Missing Out,Damnation,Goblin Bombardment,The Wandering Emperor,Bloodstained Mire,Deathrite Shaman,Giver of Runes,"Bristly Bill, Spine Sower",Flooded Strand 2,,,,,,,Picks Made:,450,,,W,R,B,R,W,C,BG,W,G,C
7,,Stoneforge Mystic,"Inti, Seneschal of the Sun",Fatal Push,Bloodstained Mire 2,Misty Rainforest 2,Dark Ritual,Verdant Catacombs,Remand,Verdant Catacombs 2,Scalding Tarn 2,,,↩,,,,Picks Remaining:,0,,,W,R,B,C,C,B,C,U,C,C
8,↪,Arid Mesa 2,Agatha's Soul Cauldron,Polluted Delta 2,Chthonian Nightmare,Marsh Flats 2,Polluted Delta,Arid Mesa,Marsh Flats,Six,Spell Pierce,,,,,,,Making Double Picks:,TRUE,,,C,C,C,B,C,C,C,C,G,U
9,,"Laelia, the Blade Reforged",Mox Opal,Stock Up,Deep-Cavern Bat,Prismatic Ending,Duress,Strip Mine,Elite Spellbinder,Malevolent Rumble,Oust,,,↩,,,,Next Player if Single Pick:,10,,,R,C,U,B,W,B,C,W,G,W
10,↪,Chrome Mox,Arena of Glory,Go for the Throat,Dark Confidant,Endurance,Bitter Triumph,Tersa Lightshatter,"Cloud, Midgar Mercenary","Titania, Protector of Argoth",Subtlety,,,,,,,Next Player if Double Pick,10,,,C,R,B,B,G,B,R,W,G,U
11,,Voice of Victory,Steam Vents,"Cecil, Dark Knight",Bloodtithe Harvester,Fanatic of Rhonas,"Valki, God of Lies",Sentinel of the Nameless City,Hallowed Fountain,Icetill Explorer,Hallowed Fountain 2,,,↩,,,,Round Number:,45,,,W,UR,WB,BR,G,BR,G,WU,G,WU
12,↪,Caretaker's Talent,Seasoned Pyromancer,"Malcolm, Alluring Scoundrel",Blood Crypt 2,Temple Garden,Blood Crypt,Esika's Chariot,"Toby, Beastie Befriender",Overlord of the Balemurk,"Wan Shi Tong, Librarian",,,,,,,Next Player:,FALSE,,,W,R,U,BR,WG,B,G,W,B,U
13,,Staff of the Storyteller,Steam Vents 2,Grave Titan,Priest of Forgotten Gods,"Nissa, Ascended Animist",Cut Down,"Surrak, Elusive Hunter",No More Lies,"Grist, the Hunger Tide",Consult the Star Charts,,,↩,,,,Next Row:,45,,,W,UR,B,B,G,,G,WU,BG,U
14,↪,Glimmer Lens,"Otawara, Soaring City",Preacher of the Schism,Bitterblossom,"Teferi, Hero of Dominaria",Liliana of the Veil,Stomping Ground,Unexpectedly Absent,Murderous Cut,"Aang, Swift Savior",,,,,,,Next Player Name:,FALSE,,,W,U,B,B,WU,B,RG,W,B,WU
15,,Cosmogrand Zenith,Mystic Confluence,Gix's Command,Infernal Grasp,Brazen Borrower,Grief,"Boseiju, Who Endures",Ephemerate,Prismatic Vista,"Jace, the Mind Sculptor",,,↩,,,,Draft Active:,FALSE,,,W,U,B,B,U,B,G,W,C,U
16,↪,Sacred Foundry,"Lutri, the Spellchaser",Snapcaster Mage,Amped Raptor,Tireless Tracker,Hostile Investigator,"Chandra, Torch of Defiance",Thraben Inspector,Life // Death,Counterspell,,,,,,,,,,,WR,UR,U,R,G,B,R,W,BG,U
17,,Chain Lightning,Pyrokinesis,Three Steps Ahead,Hired Claw,Lotus Cobra,Virtue of Persistence,Unholy Heat,"Plagon, Lord of the Beach",Green Sun's Zenith,Retrofitter Foundry,,,↩,,,,,,,,R,R,U,R,G,B,R,WU,G,C
18,↪,Sacred Foundry 2,Miscalculation,Watery Grave,Grim Lavamancer,Titan of Industry,Baleful Strix,Bonecrusher Giant,Novice Inspector,Vaultborn Tyrant,Cryptic Command,,,,,,,,,,,WR,U,UB,R,G,UB,R,W,G,U
19,,"Suki, Courageous Rescuer",Flame Slash,Fallen Shinobi,Bloodchief's Thirst,"Nissa, Who Shakes the World",Watery Grave 2,"Etali, Primal Conqueror",Make Disappear,Sylvan Safekeeper,Meticulous Archive,,,↩,,,,,,,,W,R,UB,B,G,UB,RG,U,G,WU
20,↪,Enduring Innocence,Sublime Epiphany,Mockingbird,Quag Feast,Time Warp,Norman Osborn,Elvish Mystic,Eagles of the North,Llanowar Elves,Celestial Colonnade,,,,,,,,,,,W,U,U,B,U,UBR,G,W,G,WU
21,,Lion Sash,Torrential Gearhulk,Creeping Tar Pit,Fell the Profane,Condemn,Fire Magic,Pest Infestation,Seachrome Coast,Molt Tender,Stern Scolding,,,↩,,,,,,,,W,U,UB,B,W,R,G,WU,G,U
22,↪,Witch Enchanter,Detective's Phoenix,Faerie Mastermind,Forsaken Miner,Voracious Hydra,Bone Shards,Questing Beast,Thraben Charm,Sheoldred's Edict,Preordain,,,,,,,,,,,W,R,U,B,G,B,G,W,B,U
23,,Maul of the Skyclaves,Monument to Endurance,"Kaito, Bane of Nightmares",Marionette Apprentice,Primeval Titan,Raucous Theater,Abrade,Restoration Angel,Esper Origins,Chrome Host Seedshark,,,↩,,,,,,,,WR,C,UB,B,G,BR,R,W,G,U
