✓,Card,Type,Color,View,Picked By,
✓,Descendant of Storms,Creature — Human Soldier,W,View,SL Veg Zombie,$C$32
✓,Esper Sentinel,Artifact Creature — Human Soldier,W,View,SL Veg Zombie,$C$37
✓,Giver of Runes,Creature — Kor Cleric,W,View,giya76,$J$9
✓,"Kytheon, Hero of Akros",Legendary Creature — Human Soldier,W,View,SL Veg Zombie,$C$47
✓,Mother of Runes,Creature — Human Cleric,W,View,SL Veg Zombie,$C$5
✓,Novice Inspector,Creature — Human Detective,W,View,giya76,$J$21
✓,Thraben Inspector,Creature — Human Soldier,W,View,giya76,$J$19
,Usher of the Fallen,Creature — Spirit Warrior,W,View,,
✓,Cathar Commando,Creature — Human Soldier,W,View,giya76,$J$40
✓,Clarion Spirit,Creature — Spirit,W,View,SL Veg Zombie,$C$45
✓,"Cloud, Midgar Mercenary",Legendary Creature — Human Soldier Mercenary,W,View,giya76,$J$13
✓,Containment Priest,Creature — Human Cleric,W,View,SL Veg Zombie,$C$35
,Intrepid Adversary,Creature — Human Scout,W,View,,
✓,Lion Sash,Artifact Creature — Equipment Cat,W,View,SL Veg Zombie,$C$24
✓,Luminarch Aspirant,Creature — Human Cleric,W,View,SL Veg Zombie,$C$39
✓,"Phelia, Exuberant Shepherd",Legendary Creature — Dog,W,View,giya76,$J$4
✓,Spectacular Spider-Man,Legendary Creature — Spider Human Hero,W,View,giya76,$J$27
,Splitskin Doll,Artifact Creature — Toy,W,View,,
✓,Stoneforge Mystic,Creature — Kor Artificer,W,View,SL Veg Zombie,$C$10
✓,Sungold Sentinel,Creature — Human Soldier,W,View,giya76,$J$38
✓,"Thalia, Guardian of Thraben",Legendary Creature — Human Soldier,W,View,SL Veg Zombie,$C$42
✓,Voice of Victory,Creature — Human Bard,W,View,SL Veg Zombie,$C$14
✓,"Adeline, Resplendent Cathar",Legendary Creature — Human Knight,W,View,SL Veg Zombie,$C$44
✓,Blade Splicer,Creature — Phyrexian Human Artificer,W,View,giya76,$J$41
✓,Cosmogrand Zenith,Creature — Human Soldier,W,View,SL Veg Zombie,$C$18
✓,Elite Spellbinder,Creature — Human Cleric,W,View,giya76,$J$12
✓,Enduring Innocence,Enchantment Creature — Sheep Glimmer,W,View,SL Veg Zombie,$C$23
✓,Flickerwisp,Creature — Elemental,W,View,gogey,$L$48
✓,Loran of the Third Path,Legendary Creature — Human Artificer,W,View,gogey,$L$36
,Monastery Mentor,Creature — Human Monk,W,View,,
✓,Ranger-Captain of Eos,Creature — Human Soldier Ranger,W,View,giya76,$J$42
✓,Sanguine Evangelist,Creature — Vampire Cleric,W,View,giya76,$J$47
✓,Skyclave Apparition,Creature — Kor Spirit,W,View,giya76,$J$29
✓,"Suki, Courageous Rescuer",Legendary Creature — Human Warrior Ally,W,View,SL Veg Zombie,$C$22
✓,"Toby, Beastie Befriender",Legendary Creature — Human Wizard,W,View,giya76,$J$15
,Ranger of Eos,Creature — Human Soldier Ranger,W,View,,
✓,Restoration Angel,Creature — Angel,W,View,giya76,$J$26
