✓,Card,Type,Color,View,Picked By,
✓,Descendant of Storms,Creature — Human Soldier,W,View,Neo,$G$30
✓,Esper Sentinel,Artifact Creature — Human Soldier,W,View,Neo,$G$20
✓,Giver of Runes,Creature — Kor Cleric,W,View,Neo,$G$7
✓,"Kytheon, Hero of Akros",Legendary Creature — Human Soldier,W,View,dgcritch,$I$31
✓,Mother of Runes,Creature — Human Cleric,W,View,Siddharth ,$H$5
✓,Novice Inspector,Creature — Human Detective,W,View,Siddharth ,$H$12
✓,Thraben Inspector,Creature — Human Soldier,W,View,Neo,$G$9
✓,Usher of the Fallen,Creature — Spirit Warrior,W,View,Neo,$G$35
✓,Cathar Commando,Creature — Human Soldier,W,View,Siddharth ,$H$21
✓,Clarion Spirit,Creature — Spirit,W,View,Siddharth ,$H$23
✓,"Cloud, Midgar Mercenary",Legendary Creature — Human Soldier Mercenary,W,View,Neo,$G$15
✓,Containment Priest,Creature — Human Cleric,W,View,dgcritch,$I$32
✓,Intrepid Adversary,Creature — Human Scout,W,View,Neo,$G$29
✓,Lion Sash,Artifact Creature — Equipment Cat,W,View,Neo,$G$18
✓,Luminarch Aspirant,Creature — Human Cleric,W,View,Siddharth ,$H$11
✓,"Phelia, Exuberant Shepherd",Legendary Creature — Dog,W,View,Neo,$G$4
✓,Spectacular Spider-Man,Legendary Creature — Spider Human Hero,W,View,Siddharth ,$H$9
✓,Splitskin Doll,Artifact Creature — Toy,W,View,dgcritch,$I$47
✓,Stoneforge Mystic,Creature — Kor Artificer,W,View,Neo,$G$6
✓,Sungold Sentinel,Creature — Human Soldier,W,View,Siddharth ,$H$35
✓,"Thalia, Guardian of Thraben",Legendary Creature — Human Soldier,W,View,Neo,$G$26
✓,Voice of Victory,Creature — Human Bard,W,View,Neo,$G$12
✓,"Adeline, Resplendent Cathar",Legendary Creature — Human Knight,W,View,Neo,$G$40
✓,Blade Splicer,Creature — Phyrexian Human Artificer,W,View,Neo,$G$28
✓,Cosmogrand Zenith,Creature — Human Soldier,W,View,dgcritch,$I$41
✓,Elite Spellbinder,Creature — Human Cleric,W,View,Neo,$G$27
✓,Enduring Innocence,Enchantment Creature — Sheep Glimmer,W,View,Neo,$G$41
,Flickerwisp,Creature — Elemental,W,View,,
✓,Loran of the Third Path,Legendary Creature — Human Artificer,W,View,Neo,$G$25
,Monastery Mentor,Creature — Human Monk,W,View,,
✓,Ranger-Captain of Eos,Creature — Human Soldier Ranger,W,View,Neo,$G$44
